Phrase ^ Count
and the  ^ 717
by the sea side:  ^ 2
whose surname is  ^ 2
thee of  ^ 2
and said, of  ^ 2
is accepted  ^ 2
every nation  ^ 2
and worketh  ^ 2
how god  ^ 2
of nazareth  ^ 2
in jerusalem;  ^ 2
and hanged on  ^ 2
are witnesses  ^ 2
of all things which  ^ 2
prayers and  ^ 2
third day,  ^ 2
rose from  ^ 2
people, but  ^ 2
it is he  ^ 2
ghost fell  ^ 2
answered peter,  ^ 2
for they heard  ^ 2
have received the  ^ 2
which have received  ^ 2
certain days.  ^ 2
he commanded them  ^ 2
send men  ^ 2
and call for  ^ 2
shall tell thee  ^ 2
thou oughtest  ^ 2
house is  ^ 2
angel which spake  ^ 2
the sixth hour:  ^ 2
and brethren  ^ 2
in judea  ^ 2
from caesarea  ^ 2
and we entered  ^ 2
we entered into  ^ 2
and he showed  ^ 2
how he had seen  ^ 2
shall be saved. and  ^ 2
on us  ^ 2
then remembered  ^ 2
forasmuch then  ^ 2
then hath  ^ 2
hath god  ^ 2
they heard these things,  ^ 2
and antioch,  ^ 2
when peter  ^ 2
only. and  ^ 2
when they were come to  ^ 2
them were  ^ 2
and the hand  ^ 2
the ears  ^ 2
and had seen  ^ 2
grace of god,  ^ 2
lord. for  ^ 2
barnabas to  ^ 2
and when he had found  ^ 2
much people.  ^ 2
when he had found him,  ^ 2
unto antioch.  ^ 2
days came  ^ 2
prophets from  ^ 2
unto the brethren  ^ 2
and saul.  ^ 2
it to the  ^ 2
my mouth.  ^ 2
for nothing  ^ 2
now about  ^ 2
time herod  ^ 2
and they went out,  ^ 2
forthwith the  ^ 2
angel departed  ^ 2
me out of  ^ 2
out of the hand  ^ 2
and when peter  ^ 2
people of the  ^ 2
himself, he said,  ^ 2
were gathered together  ^ 2
and as peter  ^ 2
at the door  ^ 2
the gate.  ^ 2
the gate  ^ 2
it is his  ^ 2
and when they had opened  ^ 2
prison. and  ^ 2
and he departed,  ^ 2
with the hand  ^ 2
unto them how  ^ 2
small stir  ^ 2
and he went down  ^ 2
and when herod  ^ 2
church. and  ^ 2
glory: and  ^ 2
grew and  ^ 2
them john, whose surname was  ^ 2
whose surname was mark.  ^ 2
pleased the  ^ 2
him in prison,  ^ 2
kept the  ^ 2
when herod  ^ 2
quickly. and  ^ 2
and bind  ^ 2
and he went out,  ^ 2
wist not  ^ 2
and teachers;  ^ 2
and simeon  ^ 2
now there were  ^ 2
the tetrarch,  ^ 2
there were in  ^ 2
immediately there fell  ^ 2
behold, the hand  ^ 2
departing from  ^ 2
loosed from  ^ 2
jerusalem. but  ^ 2
but when they  ^ 2
to antioch  ^ 2
and sat down. and  ^ 2
and ye that fear  ^ 2
ye that fear god,  ^ 2
stood up, and  ^ 2
said, men  ^ 2
men of israel,  ^ 2
and exalted  ^ 2
of egypt, and  ^ 2
people of israel  ^ 2
seven nations  ^ 2
four hundred and  ^ 2
and fifty  ^ 2
i have found david  ^ 2
heart, which  ^ 2
behold, there cometh  ^ 2
me, whose  ^ 2
whose shoes  ^ 2
as john  ^ 2
is the word  ^ 2
voices of the  ^ 2
their rulers,  ^ 2
them. and when  ^ 2
and prayed,  ^ 2
prayed, and  ^ 2
god raised  ^ 2
raised him  ^ 2
are his  ^ 2
his witnesses  ^ 2
the fathers,  ^ 2
son, this day  ^ 2
begotten thee.  ^ 2
mercies of david.  ^ 2
holy one to see  ^ 2
thine holy one  ^ 2
corruption. for  ^ 2
it known unto you  ^ 2
law of moses.  ^ 2
upon you,  ^ 2
believe, though  ^ 2
were gone out of  ^ 2
followed paul  ^ 2
and barnabas:  ^ 2
those things which were spoken by  ^ 2
but seeing  ^ 2
and judge  ^ 2
necessary that the  ^ 2
for salvation  ^ 2
lord commanded  ^ 2
commanded us,  ^ 2
jews: and  ^ 2
women, and  ^ 2
and raised  ^ 2
persecution against  ^ 2
jews stirred up  ^ 2
stirred up the  ^ 2
shook off the  ^ 2
with joy, and  ^ 2
with the holy ghost.  ^ 2
the isle  ^ 2
and saul,  ^ 2
synagogue of the  ^ 2
that a great  ^ 2
said with a loud  ^ 2
saw what  ^ 2
before their  ^ 2
which when the  ^ 2
crying out, and  ^ 2
from these  ^ 2
saying, sirs,  ^ 2
also are  ^ 2
persuaded the  ^ 2
antioch and  ^ 2
the next day  ^ 2
the souls  ^ 2
unto the gentiles.  ^ 2
had done with  ^ 2
long time  ^ 2
and part  ^ 2
part with  ^ 2
lystra and  ^ 2
and there sat  ^ 2
after the manner  ^ 2
disciples, which  ^ 2
miracles and  ^ 2
god had wrought  ^ 2
had wrought among  ^ 2
by them.  ^ 2
whom my  ^ 2
all these things.  ^ 2
his works  ^ 2
certain other  ^ 2
other of  ^ 2
about this  ^ 2
and from things strangled,  ^ 2
from things strangled, and  ^ 2
whole church,  ^ 2
to send chosen  ^ 2
which are of  ^ 2
syria and  ^ 2
your souls,  ^ 2
with our  ^ 2
their lives  ^ 2
tell you the  ^ 2
than these  ^ 2
to the holy  ^ 2
and from blood,  ^ 2
from blood, and  ^ 2
so when they  ^ 2
brethren unto  ^ 2
in peace  ^ 2
teaching and  ^ 2
they do. and  ^ 2
and sailed unto  ^ 2
them, that they  ^ 2
sect of the  ^ 2
this matter.  ^ 2
them, men  ^ 2
and believe.  ^ 2
unto us; and  ^ 2
between us  ^ 2
us and  ^ 2
disciple was  ^ 2
came he to  ^ 2
behold, a certain  ^ 2
he had seen the  ^ 2
and we were  ^ 2
we were in  ^ 2
that city  ^ 2
heart the  ^ 2
woman named  ^ 2
me to be  ^ 2
lord, come  ^ 2
us, which  ^ 2
men are  ^ 2
most high god,  ^ 2
which show  ^ 2
to come out of  ^ 2
this did  ^ 2
days. but  ^ 2
rulers, and  ^ 2
romans. and  ^ 2
against them:  ^ 2
the inner  ^ 2
the prisoners  ^ 2
and silas  ^ 2
suddenly there was  ^ 2
a great earthquake,  ^ 2
the foundations  ^ 2
foundations of the  ^ 2
we are all  ^ 2
thy house.  ^ 2
day, the  ^ 2
paul, the  ^ 2
told these  ^ 2
of the city.  ^ 2
which were at  ^ 2
the cities,  ^ 2
and when they had seen  ^ 2
they went out of  ^ 2
to preach the  ^ 2
them not.  ^ 2
troas. and  ^ 2
prayed him,  ^ 2
and help us.  ^ 2
a vision appeared  ^ 2
to paul in  ^ 2
there stood a man  ^ 2
they let them go. and  ^ 2
by night  ^ 2
sent away paul  ^ 2
were so.  ^ 2
a few. but  ^ 2
and receiving  ^ 2
what this  ^ 2
they took him,  ^ 2
and brought him unto  ^ 2
what these things  ^ 2
(for all  ^ 2
paul stood  ^ 2
i unto you.  ^ 2
dwelleth not  ^ 2
in temples  ^ 2
temples made with hands;  ^ 2
and hath made  ^ 2
if haply  ^ 2
silver, or  ^ 2
the dead; and  ^ 2
this jesus,  ^ 2
is christ.  ^ 2
world in  ^ 2
again of  ^ 2
paul departed  ^ 2
and a woman  ^ 2
of the chief  ^ 2
jason, and  ^ 2
them.   ^ 2
this city.  ^ 2
am with  ^ 2
six months,  ^ 2
teaching the  ^ 2
words and  ^ 2
the judgment seat.  ^ 2
the chief ruler of the synagogue,  ^ 2
syria, and  ^ 2
priscilla and  ^ 2
to ephesus,  ^ 2
there: but  ^ 2
come from  ^ 2
to depart from  ^ 2
a certain jew  ^ 2
jew named  ^ 2
in jerusalem:  ^ 2
will. and  ^ 2
at caesarea,  ^ 2
saluted the  ^ 2
this man was  ^ 2
baptism of john.  ^ 2
way of the  ^ 2
of the lord;  ^ 2
the synagogue:  ^ 2
the jews and  ^ 2
sabbath, and  ^ 2
were come from  ^ 2
from macedonia,  ^ 2
god, whose  ^ 2
he departed thence,  ^ 2
and were baptized.  ^ 2
lord with  ^ 2
spake the  ^ 2
jesus, both  ^ 2
so that from  ^ 2
his body  ^ 2
so. and  ^ 2
evil spirit  ^ 2
i know, and  ^ 2
ye? and  ^ 2
that house  ^ 2
on them  ^ 2
them all,  ^ 2
greeks also  ^ 2
and showed  ^ 2
purposed in  ^ 2
for a season. and  ^ 2
for a certain  ^ 2
much people,  ^ 2
people, saying  ^ 2
saying that  ^ 2
that they be  ^ 2
ye see and  ^ 2
not alone  ^ 2
great goddess  ^ 2
only this  ^ 2
great is diana  ^ 2
is diana of the ephesians.  ^ 2
saying, great  ^ 2
of the ephesians. and  ^ 2
the theater.  ^ 2
suffered him  ^ 2
people, the  ^ 2
desiring him that he would not  ^ 2
himself into  ^ 2
the more part  ^ 2
another: for  ^ 2
unto the people.  ^ 2
and to do  ^ 2
one another. but  ^ 2
him, that is,  ^ 2
give an account  ^ 2
jesus. when  ^ 2
on them;  ^ 2
had laid his hands  ^ 2
three months,  ^ 2
when the day  ^ 2
all with one accord  ^ 2
and pamphylia,  ^ 2
of the day.  ^ 2
these are not  ^ 2
that which was spoken by  ^ 2
spirit upon  ^ 2
all flesh:  ^ 2
flesh: and  ^ 2
my servants  ^ 2
servants and  ^ 2
wind, and  ^ 2
that great  ^ 2
shall be turned into  ^ 2
into darkness,  ^ 2
name of the lord  ^ 2
of the lord shall be saved.  ^ 2
god among  ^ 2
hear these  ^ 2
these words;  ^ 2
counsel and  ^ 2
of it.  ^ 2
that i should not  ^ 2
concerning him,  ^ 2
thou wilt not leave  ^ 2
in hell,  ^ 2
hell, neither  ^ 2
neither wilt thou suffer  ^ 2
with thy  ^ 2
the patriarch  ^ 2
his throne;  ^ 2
god had sworn  ^ 2
of christ, that  ^ 2
this jesus  ^ 2
we all  ^ 2
are witnesses.  ^ 2
see and  ^ 2
having received of  ^ 2
right hand, until  ^ 2
what shall we do?  ^ 2
of sins, and  ^ 2
ye shall receive the  ^ 2
repent, and  ^ 2
and be baptized  ^ 2
the lord our  ^ 2
they were all filled  ^ 2
and exhort,  ^ 2
saying, save  ^ 2
of bread, and  ^ 2
had all things  ^ 2
had need.  ^ 2
need. and  ^ 2
singleness of heart,  ^ 2
added to the  ^ 2
praising god,  ^ 2
favor with  ^ 2
came together, and  ^ 2
they were all amazed  ^ 2
they brought the  ^ 2
the young man  ^ 2
paul: for  ^ 2
and the next  ^ 2
if it were  ^ 2
jerusalem the  ^ 2
he would  ^ 2
he sent to  ^ 2
and called the  ^ 2
tears, and  ^ 2
me by  ^ 2
serving the  ^ 2
he came into  ^ 2
had given them  ^ 2
spirit unto  ^ 2
save that  ^ 2
my face  ^ 2
face no more.  ^ 2
blood of all  ^ 2
with his own  ^ 2
blood. for  ^ 2
you, not  ^ 2
after them.  ^ 2
of your own selves  ^ 2
with tears.  ^ 2
to them that were with  ^ 2
weak, and  ^ 2
and to remember  ^ 2
you all things,  ^ 2
them all.  ^ 2
that they should  ^ 2
and of asia,  ^ 2
they were gathered together.  ^ 2
lights in  ^ 2
and fell down  ^ 2
and it  ^ 2
hands and  ^ 2
so shall the  ^ 2
girdle, and  ^ 2
we, and  ^ 2
jerusalem, the  ^ 2
received us  ^ 2
went in with  ^ 2
ministry. and  ^ 2
and they are  ^ 2
of thee,  ^ 2
four men  ^ 2
concerning thee,  ^ 2
to signify the  ^ 2
of the days  ^ 2
one of them.  ^ 2
the men,  ^ 2
next day  ^ 2
place: and  ^ 2
they supposed that  ^ 2
of the temple:  ^ 2
city was moved,  ^ 2
all jerusalem  ^ 2
to kill him,  ^ 2
he commanded him  ^ 2
the castle.  ^ 2
multitude: and  ^ 2
castle. and  ^ 2
the violence  ^ 2
violence of the  ^ 2
the stairs,  ^ 2
unto thee?  ^ 2
who said,  ^ 2
thou that  ^ 2
hebrew tongue,  ^ 2
and abode with  ^ 2
men, brethren,  ^ 2
and fathers,  ^ 2
and go into  ^ 2
it shall be told thee  ^ 2
and i said,  ^ 2
what shall i do,  ^ 2
jews which dwelt  ^ 2
to the law,  ^ 2
stood, and said  ^ 2
brother saul,  ^ 2
of our fathers  ^ 2
and heard.  ^ 2
now why  ^ 2
jerusalem, even  ^ 2
jerusalem: for  ^ 2
concerning me.  ^ 2
and get  ^ 2
me. and i  ^ 2
they know  ^ 2
in the hebrew  ^ 2
consenting unto his  ^ 2
air, the  ^ 2
commanded him  ^ 2
him to be brought  ^ 2
saying, take heed  ^ 2
thou doest:  ^ 2
and told the  ^ 2
tell me,  ^ 2
born in  ^ 2
have known the  ^ 2
both men  ^ 2
and women.  ^ 2
from whom  ^ 2
and i fell  ^ 2
of nazareth, whom  ^ 2
thou persecutest.  ^ 2
indeed the  ^ 2
and brethren, i  ^ 2
him into the  ^ 2
drink till  ^ 2
more than forty  ^ 2
to the chief priests  ^ 2
concerning him:  ^ 2
therefore ye  ^ 2
the council  ^ 2
bring this  ^ 2
this young man  ^ 2
young man unto  ^ 2
to say unto thee.  ^ 2
unto thee. then  ^ 2
as though they would  ^ 2
them more  ^ 2
from thee.  ^ 2
that thou hast showed  ^ 2
these things to  ^ 2
the governor.  ^ 2
them: then came  ^ 2
of death or  ^ 2
or of bonds.  ^ 2
law, but  ^ 2
sittest thou  ^ 2
him, god  ^ 2
to thee,  ^ 2
night to  ^ 2
him, and returned  ^ 2
when they came to  ^ 2
delivered the  ^ 2
him to be kept  ^ 2
speak evil  ^ 2
but when paul  ^ 2
of the hope  ^ 2
of the dead i  ^ 2
no resurrection,  ^ 2
evil in  ^ 2
or an angel  ^ 2
i went up to  ^ 2
understand, that  ^ 2
found me  ^ 2
all things which are written  ^ 2
way which  ^ 2
certain jews  ^ 2
against me.  ^ 2
except it be for  ^ 2
them, and said,  ^ 2
liberty, and  ^ 2
him concerning  ^ 2
and judgment  ^ 2
jews a pleasure,  ^ 2
willing to show  ^ 2
always, and  ^ 2
among all the  ^ 2
unto thee:  ^ 2
i stand at  ^ 2
certain days  ^ 2
there is a certain  ^ 2
there many  ^ 2
jews informed  ^ 2
against him.  ^ 2
against him  ^ 2
of their own  ^ 2
against paul,  ^ 2
high priest and  ^ 2
the chief  ^ 2
chief of the  ^ 2
jerusalem, and there  ^ 2
and there be judged  ^ 2
be judged of  ^ 2
the chief captains,  ^ 2
chief captains, and  ^ 2
and on the  ^ 2
and bernice,  ^ 2
and that he  ^ 2
o king agrippa,  ^ 2
this man,  ^ 2
wickedness in  ^ 2
and grievous  ^ 2
when he was come,  ^ 2
neither against  ^ 2
law of the  ^ 2
to do the  ^ 2
unto paul,  ^ 2
authority from  ^ 2
to damascus  ^ 2
of the sun,  ^ 2
i saw in  ^ 2
speaking unto  ^ 2
it is hard for thee  ^ 2
for thee to kick  ^ 2
to kick against  ^ 2
against the pricks.  ^ 2
the pricks. and  ^ 2
jesus whom  ^ 2
thou hast seen, and  ^ 2
rise, and  ^ 2
feet: for  ^ 2
thee from  ^ 2
from the power  ^ 2
forgiveness of sins,  ^ 2
i was not  ^ 2
i am accused of  ^ 2
and throughout  ^ 2
turn to  ^ 2
to the gentiles.  ^ 2
the words of truth  ^ 2
done in  ^ 2
knoweth of  ^ 2
all that hear  ^ 2
me this day,  ^ 2
such as  ^ 2
except these  ^ 2
i beseech thee  ^ 2
when he had thus  ^ 2
had thus spoken,  ^ 2
rose up, and  ^ 2
man doeth  ^ 2
if he had not  ^ 2
the jews;  ^ 2
the jews.  ^ 2
and night,  ^ 2
master and  ^ 2
the ship;  ^ 2
of the ship.  ^ 2
band. and  ^ 2
and entering into  ^ 2
stars in  ^ 2
in many  ^ 2
of them, and said,  ^ 2
unto me, and not  ^ 2
but of the  ^ 2
this night  ^ 2
thou must  ^ 2
me. howbeit  ^ 2
to eat. then  ^ 2
into the which  ^ 2
when it was  ^ 2
to the wind,  ^ 2
shore. and  ^ 2
to kill  ^ 2
the centurion,  ^ 2
kept them  ^ 2
some on  ^ 2
contrary. and  ^ 2
of cilicia  ^ 2
cilicia and  ^ 2
a place  ^ 2
in a ship  ^ 2
to tarry with  ^ 2
to meet  ^ 2
when we came  ^ 2
people, or  ^ 2
it came to pass, that after  ^ 2
that after three  ^ 2
rain, and  ^ 2
thee, neither  ^ 2
of the brethren  ^ 2
neither received  ^ 2
of moses, and  ^ 2
one word,  ^ 2
ye shall hear, and  ^ 2
shall not understand;  ^ 2
understand; and  ^ 2
seeing ye shall see,  ^ 2
ye shall see, and  ^ 2
perceive: for  ^ 2
are dull of hearing, and  ^ 2
they should see with their eyes,  ^ 2
with their eyes, and  ^ 2
and hear  ^ 2
hear with their ears,  ^ 2
with their ears, and  ^ 2
understand with their heart,  ^ 2
and should be converted,  ^ 2
should be converted, and  ^ 2
is waxed gross, and  ^ 2
and their ears  ^ 2
their ears are dull of hearing,  ^ 2
therefore unto you,  ^ 2
the salvation  ^ 2
laid them on  ^ 2
and received  ^ 2
no harm.  ^ 2
who received  ^ 2
 in  ^ 2
and healed him.  ^ 2
it came to pass, that the  ^ 2
now peter  ^ 2
and they were filled  ^ 2
of israel, why  ^ 2
or why  ^ 2
and denied  ^ 2
and killed  ^ 2
god hath raised  ^ 2
hath given him  ^ 2
the mouth of all  ^ 2
of all his  ^ 2
shall come from  ^ 2
and be converted,  ^ 2
daily at  ^ 2
and he shall send  ^ 2
holy prophets  ^ 2
until the times  ^ 2
shall the lord your  ^ 2
your god  ^ 2
god raise up  ^ 2
raise up unto you  ^ 2
your brethren,  ^ 2
brethren, like unto  ^ 2
like unto me;  ^ 2
me; him  ^ 2
he shall say unto  ^ 2
a prophet shall the lord  ^ 2
from among the  ^ 2
hear that  ^ 2
that prophet,  ^ 2
made with  ^ 2
shall all the  ^ 2
kindreds of the  ^ 2
of the covenant  ^ 2
who seeing  ^ 2
look on  ^ 2
on us.  ^ 2
rise up and  ^ 2
walk. and  ^ 2
he took him  ^ 2
right hand,  ^ 2
stood, and  ^ 2
captain of the  ^ 2
came upon them,  ^ 2
priests, and  ^ 2
and beholding  ^ 2
beholding the  ^ 2
of the council,  ^ 2
teach in  ^ 2
name of jesus.  ^ 2
them, and commanded  ^ 2
right in the sight  ^ 2
resurrection from  ^ 2
and preached  ^ 2
forty years old,  ^ 2
they went to  ^ 2
with one accord, and  ^ 2
and against  ^ 2
holy child  ^ 2
child jesus,  ^ 2
it was now  ^ 2
heart and  ^ 2
gave the  ^ 2
all.   ^ 2
he had  ^ 2
it at the  ^ 2
apostles' feet.  ^ 2
money, and  ^ 2
was about  ^ 2
caiaphas, and  ^ 2
and when they had set  ^ 2
then peter,  ^ 2
man named  ^ 2
husband. and  ^ 2
the people;  ^ 2
in solomon's  ^ 2
solomon's porch.  ^ 2
the shadow  ^ 2
streets, and  ^ 2
with unclean  ^ 2
unclean spirits:  ^ 2
there came also  ^ 2
out of the cities  ^ 2
round about unto  ^ 2
all they  ^ 2
laid their  ^ 2
a possession, and  ^ 2
part of the  ^ 2
people all  ^ 2
and taught.  ^ 2
and found them  ^ 2
the keepers  ^ 2
temple and  ^ 2
chief priests heard  ^ 2
in prison  ^ 2
and told them,  ^ 2
and brought them  ^ 2
high priest asked  ^ 2
asked them,  ^ 2
and when they had brought  ^ 2
doctrine, and  ^ 2
to bring this  ^ 2
this man's  ^ 2
blood upon  ^ 2
you that ye should not  ^ 2
us. then  ^ 2
thine heart  ^ 2
men. the  ^ 2
him hath god  ^ 2
of sins. and  ^ 2
ghost, whom  ^ 2
and all,  ^ 2
obeyed him,  ^ 2
brought to  ^ 2
before these  ^ 2
this work  ^ 2
it be of  ^ 2
and preach  ^ 2
and ananias  ^ 2
because their  ^ 2
we have heard him  ^ 2
blasphemous words  ^ 2
and set up  ^ 2
which said, this  ^ 2
him say,  ^ 2
him, saw  ^ 2
a man full  ^ 2
full of faith  ^ 2
and philip,  ^ 2
multiplied in  ^ 2
of the priests  ^ 2
increased; and  ^ 2
miracles among  ^ 2
house. now  ^ 2
found no  ^ 2
corn in  ^ 2
brethren; and  ^ 2
then sent  ^ 2
and called his  ^ 2
and died,  ^ 2
which knew  ^ 2
not joseph.  ^ 2
dwelt in  ^ 2
his father's  ^ 2
months: and  ^ 2
brethren the  ^ 2
he was full  ^ 2
made thee  ^ 2
thee a ruler  ^ 2
a ruler and  ^ 2
then moses  ^ 2
am the god  ^ 2
put off thy shoes  ^ 2
and i have heard  ^ 2
the red sea,  ^ 2
wilderness forty  ^ 2
offered sacrifice  ^ 2
the book of the  ^ 2
and sacrifices  ^ 2
the wilderness?  ^ 2
turned, and  ^ 2
which ye made  ^ 2
the star  ^ 2
also our  ^ 2
found favor  ^ 2
to his seed  ^ 2
he gave him  ^ 2
none inheritance  ^ 2
my hand  ^ 2
all these things?  ^ 2
which of the  ^ 2
law by  ^ 2
the right hand of god,  ^ 2
heavens opened,  ^ 2
ran upon  ^ 2
ears, and  ^ 2
and ran  ^ 2
their clothes  ^ 2
him : and the  ^ 2
child. and  ^ 2
in a strange  ^ 2
land; and  ^ 2
and serve  ^ 2
and isaac  ^ 2
into egypt:  ^ 2
from the least  ^ 2
the least to  ^ 2
saying, this man  ^ 2
and wondered,  ^ 2
had received the  ^ 2
jerusalem heard  ^ 2
hands the  ^ 2
gift of god  ^ 2
perish with  ^ 2
matter: for  ^ 2
heart is  ^ 2
thou hast  ^ 2
god, if  ^ 2
the thought  ^ 2
therefore of  ^ 2
ye to  ^ 2
unto philip,  ^ 2
and sitting  ^ 2
read the  ^ 2
prophet isaiah,  ^ 2
and he desired  ^ 2
place of the  ^ 2
who shall declare  ^ 2
speaketh the  ^ 2
of himself,  ^ 2
himself, or  ^ 2
then philip  ^ 2
opened his  ^ 2
at the same  ^ 2
water: and  ^ 2
as they went  ^ 2
he answered and said,  ^ 2
philip and  ^ 2
both into  ^ 2
till he  ^ 2
drink. and  ^ 2
at damascus  ^ 2
straight, and  ^ 2
lord said unto  ^ 2
him, arise,  ^ 2
and putting  ^ 2
a man named  ^ 2
thy name.  ^ 2
and here  ^ 2
name before  ^ 2
him said,  ^ 2
unto thee in  ^ 2
went his way, and  ^ 2
then was  ^ 2
synagogues, that  ^ 2
way, whether  ^ 2
and desired of  ^ 2
name in  ^ 2
all that heard  ^ 2
days were fulfilled,  ^ 2
and believed not  ^ 2
comfort of the  ^ 2
all judea  ^ 2
judea and  ^ 2
immediately. and  ^ 2
they laid  ^ 2
to them.  ^ 2
and went with them.  ^ 2
opened her  ^ 2
eyes: and  ^ 2
and when she saw  ^ 2
put them all  ^ 2
saints and  ^ 2
when he had called the  ^ 2
it came to pass, that he  ^ 2
do. and  ^ 2
no man. and  ^ 2
eyes were opened,  ^ 2
days without  ^ 2
and neither  ^ 2
concerning israel  ^ 2
in the days of uzziah  ^ 2
a fire on the wall  ^ 2
a fire in the wall  ^ 2
shall go into captivity,  ^ 2
his voice from jerusalem;  ^ 2
the palaces of ben-hadad.  ^ 2
and him that holdeth the scepter  ^ 2
and i will turn mine hand  ^ 2
and remembered not  ^ 2
you forty years  ^ 2
of israel? saith  ^ 2
not. behold,  ^ 2
shall not deliver  ^ 2
and have not kept  ^ 2
for a pair of shoes;  ^ 2
the dust of the earth  ^ 2
against the whole  ^ 2
hear this  ^ 2
hath spoken against  ^ 2
in the house of jacob,  ^ 2
of jacob, saith  ^ 2
of hosts, that  ^ 2
that in the day  ^ 2
the transgressions of israel  ^ 2
hath not done  ^ 2
thus will i do  ^ 2
i will do this  ^ 2
and treadeth upon  ^ 2
god hath sworn  ^ 2
lo, the days  ^ 2
the days shall come  ^ 2
one city,  ^ 2
it rained not  ^ 2
ye this  ^ 2
of joseph. therefore  ^ 2
to mourning,  ^ 2
saith thus;  ^ 2
the lord. woe  ^ 2
his hand on  ^ 2
and i will not smell  ^ 2
i will not accept  ^ 2
the lord, whose name  ^ 2
seek the lord,  ^ 2
for the waters of the sea,  ^ 2
of the sea, and poureth them out  ^ 2
and poureth them out upon  ^ 2
of the earth: the lord  ^ 2
shall come against  ^ 2
make mention of the name  ^ 2
the lord commandeth,  ^ 2
the lord the god  ^ 2
but, behold,  ^ 2
i will raise up against  ^ 2
the excellency of jacob,  ^ 2
hath sworn by himself,  ^ 2
to bear all  ^ 2
the land of judah,  ^ 2
and there eat  ^ 2
prophesy unto  ^ 2
i beseech thee: by whom  ^ 2
by whom shall jacob  ^ 2
shall jacob arise?  ^ 2
arise? for  ^ 2
he is small.  ^ 2
is small. the lord  ^ 2
the lord repented  ^ 2
repented for  ^ 2
be, saith  ^ 2
the lord stood  ^ 2
stood upon  ^ 2
in his hand. and the lord  ^ 2
behold, i will set  ^ 2
in the midst of my people  ^ 2
of my people israel:  ^ 2
a basket of summer fruit.  ^ 2
a famine in the land,  ^ 2
to sea,  ^ 2
i will never forget  ^ 2
as by the flood of egypt.  ^ 2
of egypt. and it shall come to pass  ^ 2
and all the hills  ^ 2
and drink the wine  ^ 2
and i will bring again the captivity  ^ 2
the captivity of my people  ^ 2
the waste cities,  ^ 2
and inhabit them ; and they shall plant  ^ 2
thence will i command  ^ 2
them for evil, and not  ^ 2
into captivity before  ^ 2
the lord is his name.  ^ 2
israel out of the land  ^ 2
good work,  ^ 2
worthy of the  ^ 2
saints in  ^ 2
we have redemption  ^ 2
redemption through  ^ 2
him all things  ^ 2
body, the  ^ 2
to the saints  ^ 2
blood of his  ^ 2
and you,  ^ 2
hope of the  ^ 2
creature which  ^ 2
which is under  ^ 2
a minister, according  ^ 2
you, the  ^ 2
god would  ^ 2
all wisdom;  ^ 2
which worketh in  ^ 2
praying always  ^ 2
to god and  ^ 2
world; and  ^ 2
knew the  ^ 2
in truth:  ^ 2
is in all  ^ 2
a faithful minister  ^ 2
that ye might be filled  ^ 2
all wisdom  ^ 2
mightily. for  ^ 2
face in  ^ 2
and power:  ^ 2
complete in  ^ 2
him, which  ^ 2
body of the  ^ 2
sins of the  ^ 2
the circumcision  ^ 2
was contrary  ^ 2
principalities and  ^ 2
body by  ^ 2
of god. wherefore  ^ 2
living in  ^ 2
the rudiments  ^ 2
rudiments of the  ^ 2
commandments and  ^ 2
whom are  ^ 2
of wisdom and  ^ 2
am i with  ^ 2
tradition of men,  ^ 2
if ye then  ^ 2
in knowledge  ^ 2
nor uncircumcision,  ^ 2
against any:  ^ 2
one another, and  ^ 2
forgiving one another,  ^ 2
ye are called in  ^ 2
in psalms and  ^ 2
and hymns  ^ 2
hymns and  ^ 2
spiritual songs,  ^ 2
songs, singing  ^ 2
grace in  ^ 2
to the lord.  ^ 2
wives, submit yourselves  ^ 2
submit yourselves unto your own  ^ 2
unto your own husbands,  ^ 2
husbands, as  ^ 2
husbands, love  ^ 2
children, obey  ^ 2
with eyeservice,  ^ 2
eyeservice, as  ^ 2
as menpleasers;  ^ 2
menpleasers; but  ^ 2
in singleness  ^ 2
according to the flesh;  ^ 2
as to the  ^ 2
that of  ^ 2
earth. for  ^ 2
god. when  ^ 2
fornication, uncleanness,  ^ 2
of god cometh  ^ 2
children of disobedience:  ^ 2
out of your  ^ 2
old man  ^ 2
if he come  ^ 2
my fellow prisoner  ^ 2
which have been  ^ 2
who are of  ^ 2
prayers, that  ^ 2
perfect and  ^ 2
them that are in  ^ 2
you. salute  ^ 2
salute the  ^ 2
laodicea. and  ^ 2
to speak the  ^ 2
ought to speak.  ^ 2
redeeming the  ^ 2
and comfort  ^ 2
for the same purpose,  ^ 2
the same purpose, that  ^ 2
a faithful and  ^ 2
brother, who  ^ 2
is one of  ^ 2
came nebuchadnezzar  ^ 2
the children which  ^ 2
i fear  ^ 2
daniel, hananiah,  ^ 2
mishael, and azariah,  ^ 2
had set over  ^ 2
ten days;  ^ 2
deal with  ^ 2
than all  ^ 2
mishael, and azariah:  ^ 2
all the magicians  ^ 2
of wisdom and understanding,  ^ 2
with the prince  ^ 2
name was called  ^ 2
king of persia  ^ 2
and i am come  ^ 2
such words  ^ 2
and spoke, and said  ^ 2
are turned upon  ^ 2
no strength.  ^ 2
talk with  ^ 2
daniel was  ^ 2
with me in  ^ 2
of the first month,  ^ 2
then i lifted up mine eyes,  ^ 2
and i daniel  ^ 2
was left alone,  ^ 2
with him, even with  ^ 2
greater than  ^ 2
shall stand before  ^ 2
against the realm  ^ 2
