Phrase ^ Count
and the lord spoke unto moses, saying,  ^ 72
the river jabbok, which is the border of the children of ammon;  ^ 2
thou didst unto sihon king of the amorites, which  ^ 2
unto sihon king of the amorites, which dwelt  ^ 2
king of the amorites, which dwelt at heshbon.  ^ 2
have seen all that the lord your god  ^ 2
all that the lord your god hath done  ^ 2
unto thy fathers, to abraham, to isaac, and to jacob, to give  ^ 2
thy god with all thine heart, and with all thy soul,  ^ 2
whither ye go over jordan to possess  ^ 2
ye go over jordan to possess and the lord  ^ 2
and the lord said unto moses, behold,  ^ 2
the levites, which bore the ark of the covenant of the lord,  ^ 2
of canaan, which i give unto the children  ^ 2
and go in and possess the land which the lord  ^ 2
unto the third and fourth generation of them that hate and showing  ^ 2
the third and fourth generation of them that hate and showing mercy  ^ 2
and fourth generation of them that hate and showing mercy unto thousands  ^ 2
generation of them that hate and showing mercy unto thousands of them that love  ^ 2
for the lord will not hold him guiltless that  ^ 2
the lord will not hold him guiltless that taketh  ^ 2
will not hold him guiltless that taketh his name  ^ 2
hold him guiltless that taketh his name in vain.  ^ 2
my commandments. thou shalt not take the name of the lord  ^ 2
thou shalt not take the name of the lord thy god  ^ 2
in it thou shalt not do any work, thou,  ^ 2
do any work, thou, nor thy son,  ^ 2
any work, thou, nor thy son, nor thy daughter,  ^ 2
and do all thy work: but the seventh day  ^ 2
all thy work: but the seventh day is the sabbath  ^ 2
thy work: but the seventh day is the sabbath of the lord  ^ 2
but the seventh day is the sabbath of the lord thy god:  ^ 2
day is the sabbath of the lord thy god: in it thou shalt not  ^ 2
is the sabbath of the lord thy god: in it thou shalt not do  ^ 2
of the lord thy god: in it thou shalt not do any  ^ 2
thy god: in it thou shalt not do any work,  ^ 2
the lord thy god giveth thou shalt not kill.  ^ 2
saying, i am the lord thy god, which  ^ 2
of any thing that is in heaven above, or that is in the earth  ^ 2
is in heaven above, or that is in the earth beneath,  ^ 2
above, or that is in the earth beneath, or that  ^ 2
other gods before thou shalt not make  ^ 2
or any likeness of any thing that is in heaven above,  ^ 2
likeness of any thing that is in heaven above, or that  ^ 2
i the lord thy god am a jealous god,  ^ 2
the lord thy god am a jealous god, visiting  ^ 2
thy god am a jealous god, visiting the iniquity  ^ 2
am a jealous god, visiting the iniquity of the fathers  ^ 2
god, visiting the iniquity of the fathers upon  ^ 2
visiting the iniquity of the fathers upon the children  ^ 2
the children unto the third and fourth generation of them that hate  ^ 2
serve them: for i the lord thy god  ^ 2
them: for i the lord thy god am a jealous  ^ 2
thy son asketh thee in time to come, saying, what  ^ 2
this people, and, behold, it is a stiffnecked  ^ 2
people, and, behold, it is a stiffnecked people:  ^ 2
i have seen this people, and, behold, it  ^ 2
this also is vanity and vexation of spirit.  ^ 2
this is also vanity and vexation of spirit.  ^ 2
the days of his life, which god giveth  ^ 2
for this cause shall a man leave his father  ^ 2
shall a man leave his father and  ^ 2
leave his father and mother,  ^ 2
his father and mother, and  ^ 2
from god the father and the lord  ^ 2
god the father and the lord jesus  ^ 2
the copy of the writing for a commandment to be given in every  ^ 2
of the writing for a commandment to be given in every province  ^ 2
for a commandment to be given in every province was published  ^ 2
to be given in every province was published unto all  ^ 2
in every province was published unto all people,  ^ 2
whithersoever the king's commandment and his decree came,  ^ 2
said unto moses, go in unto  ^ 2
unto moses, stretch out thine hand over  ^ 2
the land of egypt. then pharaoh called for moses  ^ 2
from pharaoh, and entreated the lord. and the lord  ^ 2
hardened pharaoh's heart, so that he would not let  ^ 2
pharaoh's heart, so that he would not let the children  ^ 2
heart, so that he would not let the children of israel  ^ 2
and the lord gave the people favor in the sight  ^ 2
and the lord spoke unto moses and aaron  ^ 2
jewels of silver, and jewels of gold, and raiment:  ^ 2
the children of israel; as the lord commanded  ^ 2
and it shall be when the lord shall bring thee into  ^ 2
when the lord shall bring thee into the land  ^ 2
the lord shall bring thee into the land of the canaanites,  ^ 2
the children of israel, saying, god will surely visit  ^ 2
and moses said unto the people, fear  ^ 2
and the egyptians shall know that i am the lord,  ^ 2
of the children of israel murmured against moses  ^ 2
and the lord said unto moses, how long  ^ 2
and moses said, this is the thing which  ^ 2
said, this is the thing which the lord  ^ 2
and moses said unto aaron, take  ^ 2
and the lord said unto moses, write  ^ 2
and moses cried unto the lord, saying,  ^ 2
the words of the people unto the lord. and the lord  ^ 2
of the people unto the lord. and the lord said  ^ 2
the lord. and the lord said unto moses,  ^ 2
for in six days the lord made  ^ 2
in six days the lord made heaven  ^ 2
days the lord made heaven and earth,  ^ 2
eye for eye, tooth for  ^ 2
thou shalt not offer the blood of my sacrifice with  ^ 2
of the lord thy god. thou shalt not seethe a kid  ^ 2
and aaron, nadab, and abihu, and seventy of the elders  ^ 2
and a half shall be the length thereof, and a cubit and a half the breadth  ^ 2
two cubits and a half shall be the length thereof, and a cubit and a half  ^ 2
the breadth thereof, and a cubit and a half the height and thou shalt overlay  ^ 2
thereof, and a cubit and a half the height and thou shalt overlay it with pure  ^ 2
and a half the height and thou shalt overlay it with pure gold,  ^ 2
of shittim wood, and overlay them with gold. and thou shalt put  ^ 2
the staves into the rings by the sides of the ark,  ^ 2
speak unto the children of israel, that they bring  ^ 2
thereof, and a cubit the breadth thereof, and a cubit and a half the height  ^ 2
for it four rings of gold, and put the rings  ^ 2
and thou shalt make the staves of shittim wood, and overlay  ^ 2
under two branches of the same, according to the six  ^ 2
two branches of the same, according to the six branches  ^ 2
and silver, and brass, and blue, and purple, and scarlet,  ^ 2
and brass, and blue, and purple, and scarlet, and fine linen,  ^ 2
and blue, and purple, and scarlet, and fine linen, and goats'  ^ 2
and purple, and scarlet, and fine linen, and goats' and rams'  ^ 2
and scarlet, and fine linen, and goats' and rams' skins  ^ 2
and fine linen, and goats' and rams' skins dyed red,  ^ 2
and goats' and rams' skins dyed red, and badgers'  ^ 2
and rams' skins dyed red, and badgers' skins,  ^ 2
skins dyed red, and badgers' skins, and shittim  ^ 2
dyed red, and badgers' skins, and shittim wood,  ^ 2
and blue, and purple, and scarlet: with cherubims of cunning  ^ 2
and purple, and scarlet: with cherubims of cunning work  ^ 2
curtains of fine twined linen, and blue, and purple, and scarlet:  ^ 2
of fine twined linen, and blue, and purple, and scarlet: with cherubims  ^ 2
a covering for the tent of rams' skins dyed red,  ^ 2
for the tent of rams' skins dyed red, and a covering  ^ 2
the twenty boards; two sockets under  ^ 2
boards; two sockets under one  ^ 2
two sockets under one board  ^ 2
sockets under one board for his two  ^ 2
under one board for his two tenons,  ^ 2
one board for his two tenons, and two  ^ 2
board for his two tenons, and two sockets  ^ 2
for his two tenons, and two sockets under  ^ 2
tenons, and two sockets under another  ^ 2
and two sockets under another board  ^ 2
sockets under another board for his two  ^ 2
under another board for his two tenons.  ^ 2
under the twenty boards; two sockets  ^ 2
and their forty sockets of silver; two sockets  ^ 2
sockets of silver; two sockets under  ^ 2
of silver; two sockets under one  ^ 2
sockets under another board. and for the sides  ^ 2
under another board. and for the sides of the tabernacle  ^ 2
another board. and for the sides of the tabernacle westward  ^ 2
bars of shittim wood; five for the boards  ^ 2
of shittim wood; five for the boards of the one  ^ 2
wood; five for the boards of the one side  ^ 2
five for the boards of the one side of the tabernacle,  ^ 2
for the boards of the one side of the tabernacle, and five  ^ 2
of the one side of the tabernacle, and five bars  ^ 2
of the tabernacle, and five bars for the boards of the other  ^ 2
and five bars for the boards of the other side  ^ 2
bars for the boards of the other side of the tabernacle,  ^ 2
for the boards of the other side of the tabernacle, and five  ^ 2
of the other side of the tabernacle, and five bars  ^ 2
of another curtain, in the coupling of the second. fifty loops  ^ 2
five curtains by themselves, and six curtains  ^ 2
thee pure oil olive beaten for the light,  ^ 2
of israel, twelve, according to their names, like the engravings  ^ 2
the names of the children of israel, twelve, according to  ^ 2
of the children of israel, twelve, according to their names,  ^ 2
the two wreathen chains of gold in the two  ^ 2
wreathen chains of gold in the two rings  ^ 2
in the two ouches, and put them on  ^ 2
the two ouches, and put them on the shoulder pieces  ^ 2
them on the two sides of the ephod underneath,  ^ 2
the two sides of the ephod underneath, toward  ^ 2
sides of the ephod underneath, toward the forepart  ^ 2
shall put their hands upon the head of the ram.  ^ 2
ram; and aaron and his sons shall put their hands  ^ 2
it upon aaron, and upon his garments, and upon  ^ 2
aaron, and upon his garments, and upon his sons,  ^ 2
and upon his garments, and upon his sons, and upon  ^ 2
and his garments, and his sons, and his sons' garments with  ^ 2
of abraham, the god of isaac, and the god of jacob,  ^ 2
of the canaanites, and the hittites, and the amorites, and the perizzites, and the hivites,  ^ 2
for the place whereon thou standest  ^ 2
unto the lord. and the lord spoke unto moses,  ^ 2
spoke unto moses, saying, when  ^ 2
and the altar of incense, and the altar of burnt offering with all  ^ 2
garments for aaron the priest, and the garments of his sons,  ^ 2
by name bezaleel the son of uri, the son  ^ 2
as for this moses, the man that brought us up  ^ 2
moses, the man that brought us up out of the land  ^ 2
the man that brought us up out of the land of egypt,  ^ 2
that brought us up out of the land of egypt, we know  ^ 2
brought us up out of the land of egypt, we know not  ^ 2
out of the land of egypt, we know not what  ^ 2
of egypt, we know not what is become  ^ 2
unto them, thus saith the lord god of israel,  ^ 2
and moses returned unto the lord, and said,  ^ 2
if now i have found grace in thy sight,  ^ 2
and the anointing oil, and the sweet incense, and the hanging  ^ 2
his staves, and all his vessels, the laver and his foot,  ^ 2
and all his vessels, the laver and his foot,   ^ 2
his vessels, the laver and his foot,  the hangings  ^ 2
the laver and his foot,  the hangings of the court,  ^ 2
and his foot,  the hangings of the court, his pillars,  ^ 2
of israel, saying, this is the thing which  ^ 2
saying, this is the thing which the lord  ^ 2
bezaleel and aholiab, and every wise hearted  ^ 2
and aholiab, and every wise hearted man,  ^ 2
cubits; their pillars three, and their sockets three.  ^ 2
of gold, blue, and purple, and scarlet, and fine twined linen.  ^ 2
the lord commanded moses, so the children  ^ 2
commanded moses, so the children of israel  ^ 2
of israel; as the lord commanded moses.  ^ 2
as the lord commanded moses. and he put  ^ 2
the laver between the tent of the congregation and the altar,  ^ 2
speak unto pharaoh king of egypt,  ^ 2
and the sons of simeon; jemuel, and jamin, and ohad,  ^ 2
of simeon; jemuel, and jamin, and ohad, and jachin,  ^ 2
jemuel, and jamin, and ohad, and jachin, and zohar,  ^ 2
and jamin, and ohad, and jachin, and zohar, and shaul  ^ 2
and ohad, and jachin, and zohar, and shaul the son  ^ 2
the river. and the lord spoke unto moses,  ^ 2
and the lord spoke unto moses, say  ^ 2
spoke unto moses, say unto  ^ 2
moses and unto aaron, saying, when  ^ 2
pharaoh, and say unto him, thus saith  ^ 2
and say unto him, thus saith the lord,  ^ 2
the land of egypt. and the magicians did so  ^ 2
and he hearkened not unto them; as the lord  ^ 2
and the lord said unto moses, rise up early  ^ 2
said unto moses, rise up early in the morning,  ^ 2
unto moses, rise up early in the morning, and stand  ^ 2
moses, rise up early in the morning, and stand before  ^ 2
saith the lord god of the hebrews, let  ^ 2
the lord god of the hebrews, let my people  ^ 2
god of the hebrews, let my people go,  ^ 2
of the hebrews, let my people go, that they may serve  ^ 2
let my people go, that they may serve for  ^ 2
upon man, and upon beast, and upon  ^ 2
of a wheel. when they went, they went upon their four  ^ 2
were lifted up over against them: for the spirit of the living creature  ^ 2
over against them: for the spirit of the living creature was in the wheels.  ^ 2
and the hand of the lord was there upon  ^ 2
and said, ah lord god! wilt thou  ^ 2
therefore say, thus saith the lord  ^ 2
say, thus saith the lord god;  ^ 2
and they shall know that i am the lord. moreover the word  ^ 2
that i am the lord. moreover the word of the lord  ^ 2
i am the lord. moreover the word of the lord came  ^ 2
moreover the word of the lord came to me, saying,  ^ 2
of the lord came to me, saying, son  ^ 2
came to me, saying, son of man,  ^ 2
that i am the lord. and the word of the lord  ^ 2
i am the lord. and the word of the lord came  ^ 2
am the lord. and the word of the lord came unto  ^ 2
unto me, saying, son of man, what  ^ 2
the word of the lord unto me, saying, son  ^ 2
of the lord unto me, saying, son of man,  ^ 2
saith the lord god. and the word of the lord  ^ 2
unto me, saying, son of man, prophesy  ^ 2
me, saying, son of man, prophesy against  ^ 2
wherefore thus saith the lord god;  ^ 2
and ye shall know that i am the lord. because  ^ 2
and ye shall know that i am the lord god.  ^ 2
man and beast from though these three  ^ 2
live, saith the lord god, they  ^ 2
saith the lord god, they shall deliver  ^ 2
the lord god, they shall deliver neither  ^ 2
though these three men were in it, as i  ^ 2
three men were in it, as i live,  ^ 2
men were in it, as i live, saith  ^ 2
the evil that i have brought upon jerusalem,  ^ 2
his idols in his heart, and putteth the stumblingblock  ^ 2
in his heart, and putteth the stumblingblock of his iniquity  ^ 2
his heart, and putteth the stumblingblock of his iniquity before  ^ 2
and putteth the stumblingblock of his iniquity before his face,  ^ 2
the stumblingblock of his iniquity before his face, and cometh  ^ 2
of his iniquity before his face, and cometh to  ^ 2
say unto the house of israel, thus  ^ 2
unto the house of israel, thus saith  ^ 2
and say, thus saith the lord god  ^ 2
hear the word of the lord: thus saith  ^ 2
the word of the lord: thus saith the lord  ^ 2
of the lord: thus saith the lord god;  ^ 2
saith the lord god; as i live,  ^ 2
the lord god; as i live, surely  ^ 2
i the lord have spoken thus saith  ^ 2
the lord have spoken thus saith the lord  ^ 2
have spoken thus saith the lord god;  ^ 2
the word of the lord came unto me again, saying,  ^ 2
hath lifted up his eyes to the idols of the house  ^ 2
his eyes to the idols of the house of israel,  ^ 2
eaten upon the mountains, neither hath lifted up  ^ 2
upon the mountains, neither hath lifted up his eyes  ^ 2
the mountains, neither hath lifted up his eyes to  ^ 2
neither hath lifted up his eyes to the idols  ^ 2
be dismayed at their looks, though they be a rebellious  ^ 2
at their looks, though they be a rebellious house.  ^ 2
but i wrought for my name's sake, that it should not be polluted before  ^ 2
for my name's sake, that it should not be polluted before the heathen,  ^ 2
with milk and honey, which is the glory of all  ^ 2
of israel, and say unto them, thus saith  ^ 2
son of man, speak unto the house  ^ 2
live, saith the lord god, i will not  ^ 2
with a mighty hand, and with a stretched out arm, and with fury  ^ 2
hear the word of the lord; thus saith  ^ 2
the word of the lord; thus saith the lord  ^ 2
son of man, prophesy and say, thus  ^ 2
of man, prophesy and say, thus saith  ^ 2
god. the word of the lord came again unto  ^ 2
unto the house of israel, thus saith the lord  ^ 2
saith the lord god; woe to the bloody  ^ 2
that i am the lord. the word of the lord  ^ 2
i am the lord. the word of the lord came  ^ 2
am the lord. the word of the lord came again unto  ^ 2
thus saith the lord god; because that  ^ 2
the lord god. thus saith the lord  ^ 2
god. thus saith the lord god;  ^ 2
that i am the lord. for thus  ^ 2
i am the lord. for thus saith  ^ 2
am the lord. for thus saith the lord  ^ 2
in the first day of the month, that the word of the lord came  ^ 2
saith the lord god; behold, i will bring  ^ 2
son of man, take up a lamentation for  ^ 2
unto me, saying, son of man, take up  ^ 2
me, saying, son of man, take up a lamentation  ^ 2
and prophesy against and say, thus saith  ^ 2
against and say, thus saith the lord  ^ 2
and i will scatter the egyptians among the nations, and will disperse them through the countries.  ^ 2
days, that the word of the lord came unto  ^ 2
wicked man shall die in his iniquity; but his blood will i require  ^ 2
man shall die in his iniquity; but his blood will i require at thine hand.  ^ 2
he shall die in his iniquity; but thou hast delivered  ^ 2
shall die in his iniquity; but thou hast delivered thy soul.  ^ 2
and they shall know that i am the lord. and it came to pass  ^ 2
that i am the lord. and it came to pass in the eleventh  ^ 2
i am the lord. and it came to pass in the eleventh year,  ^ 2
thus saith the lord god; in the day  ^ 2
and all his multitude, saith the lord god.  ^ 2
all of them slain, fallen by the sword, which  ^ 2
her multitude: her graves are round about him: all of them uncircumcised,  ^ 2
her graves are round about him: all of them uncircumcised, slain  ^ 2
therefore, as i live, saith the lord  ^ 2
and say, ye mountains of israel, hear the word  ^ 2
and ye shall be my people, and i will be your god.  ^ 2
god; thus saith the lord god  ^ 2
thus saith the lord god to the mountains,  ^ 2
saith the lord god to the mountains, and to the hills,  ^ 2
the lord god to the mountains, and to the hills, to the rivers,  ^ 2
ye mountains of israel, hear the word of the lord  ^ 2
of israel, hear the word of the lord god;  ^ 2
saith the lord god; behold, i  ^ 2
the lord god; behold, i will take  ^ 2
hear the word of the lord. thus saith  ^ 2
behold, i am against thee, o gog, the chief prince  ^ 2
i am against thee, o gog, the chief prince of meshech  ^ 2
thee, o gog, the chief prince of meshech and tubal:  ^ 2
the lord god; behold, i am against thee, o gog,  ^ 2
god; behold, i am against thee, o gog, the chief  ^ 2
the chief prince of meshech and tubal: and i will turn thee back,  ^ 2
son of man, thus saith the lord  ^ 2
of man, thus saith the lord god;  ^ 2
the length was fifty cubits, and the breadth five  ^ 2
was fifty cubits, and the breadth five and twenty  ^ 2
thereof round about: it was fifty cubits long, and five  ^ 2
it was fifty cubits long, and five and twenty  ^ 2
cubits long, and five and twenty cubits  ^ 2
long, and five and twenty cubits broad.  ^ 2
and five and twenty cubits broad. and the porches  ^ 2
the posts thereof, on this side, and on that side: and the going up to it had eight  ^ 2
thereof, on this side, and on that side: and the going up to it had eight steps.  ^ 2
court; and palm trees were upon the posts thereof, on this side,  ^ 2
and palm trees were upon the posts thereof, on this side, and on that side:  ^ 2
were upon the posts thereof, on this side, and on that side: and the going up  ^ 2
five hundred reeds, with the measuring reed  ^ 2
hundred reeds, with the measuring reed round about.  ^ 2
reeds, with the measuring reed round about. he measured  ^ 2
side, five hundred reeds, with the measuring  ^ 2
the house of israel. thus saith the lord  ^ 2
thus saith the lord god; this  ^ 2
from the east side even unto the west side,  ^ 2
side even unto the west side, a  ^ 2
of zaccai, seven hundred and threescore. the children  ^ 2
the children of bebai, six hundred twenty  ^ 2
twenty and two. the children of adonikam, six  ^ 2
and two. the children of adonikam, six hundred  ^ 2
the children of ater of hezekiah, ninety and eight.  ^ 2
of ater of hezekiah, ninety and eight. the children  ^ 2
and eight. the children of bezai, three hundred  ^ 2
the children of bezai, three hundred twenty  ^ 2
the men of anathoth, a hundred twenty and eight.  ^ 2
six hundred twenty and one. the men  ^ 2
hundred twenty and one. the men of michmas,  ^ 2
twenty and one. the men of michmas, a hundred  ^ 2
the children of parosh, two thousand a hundred seventy  ^ 2
of parosh, two thousand a hundred seventy and two.  ^ 2
the children of the other elam, a thousand two hundred  ^ 2
of the other elam, a thousand two hundred fifty  ^ 2
elam, a thousand two hundred fifty and four.  ^ 2
two hundred fifty and four. the children of harim,  ^ 2
fifty and four. the children of harim, three  ^ 2
and four. the children of harim, three hundred  ^ 2
the children of harim, three hundred and twenty.  ^ 2
of harim, three hundred and twenty. the children  ^ 2
the children of lod, hadid, and ono, seven  ^ 2
of lod, hadid, and ono, seven hundred  ^ 2
hadid, and ono, seven hundred twenty  ^ 2
the children of jericho, three hundred forty  ^ 2
of jericho, three hundred forty and five.  ^ 2
three hundred forty and five. the children  ^ 2
hundred and thirty. the priests: the children of jedaiah,  ^ 2
and thirty. the priests: the children of jedaiah, of the house  ^ 2
the priests: the children of jedaiah, of the house of jeshua,  ^ 2
the children of jedaiah, of the house of jeshua, nine  ^ 2
of jedaiah, of the house of jeshua, nine hundred  ^ 2
of the house of jeshua, nine hundred seventy  ^ 2
of jeshua, nine hundred seventy and three.  ^ 2
nine hundred seventy and three. the children  ^ 2
hundred seventy and three. the children of immer,  ^ 2
seventy and three. the children of immer, a thousand  ^ 2
and three. the children of immer, a thousand fifty  ^ 2
the children of immer, a thousand fifty and two.  ^ 2
of immer, a thousand fifty and two. the children  ^ 2
a thousand fifty and two. the children of pashur,  ^ 2
fifty and two. the children of pashur, a thousand  ^ 2
and two. the children of pashur, a thousand two hundred  ^ 2
the children of pashur, a thousand two hundred forty  ^ 2
of pashur, a thousand two hundred forty and seven.  ^ 2
a thousand two hundred forty and seven. the children  ^ 2
two hundred forty and seven. the children of harim,  ^ 2
forty and seven. the children of harim, a thousand  ^ 2
and seven. the children of harim, a thousand and seventeen.  ^ 2
two thousand a hundred seventy and two. the children  ^ 2
a hundred seventy and two. the children of shephatiah,  ^ 2
seventy and two. the children of shephatiah, three  ^ 2
and two. the children of shephatiah, three hundred  ^ 2
the children of shephatiah, three hundred seventy  ^ 2
of shephatiah, three hundred seventy and two.  ^ 2
the children of harim, a thousand and seventeen. the levites:  ^ 2
of harim, a thousand and seventeen. the levites: the children  ^ 2
seventy and four. the singers: the children of asaph,  ^ 2
and four. the singers: the children of asaph, a hundred  ^ 2
of ater, the children of talmon, the children of akkub,  ^ 2
the children of talmon, the children of akkub, the children  ^ 2
of talmon, the children of akkub, the children of hatita,  ^ 2
the children of akkub, the children of hatita, the children  ^ 2
of akkub, the children of hatita, the children of shobai,  ^ 2
the children of shallum, the children of ater, the children  ^ 2
of shallum, the children of ater, the children of talmon,  ^ 2
the children of ater, the children of talmon, the children  ^ 2
the children of tabbaoth, the children of keros, the children  ^ 2
the children of shalmai, the children of hanan, the children  ^ 2
of shalmai, the children of hanan, the children of giddel,  ^ 2
the children of hanan, the children of giddel, the children  ^ 2
of hanan, the children of giddel, the children of gahar,  ^ 2
the children of giddel, the children of gahar, the children  ^ 2
of giddel, the children of gahar, the children of reaiah,  ^ 2
the children of gahar, the children of reaiah, the children  ^ 2
of gahar, the children of reaiah, the children of rezin,  ^ 2
the children of reaiah, the children of rezin, the children  ^ 2
of reaiah, the children of rezin, the children of nekoda,  ^ 2
the children of rezin, the children of nekoda, the children  ^ 2
of rezin, the children of nekoda, the children of gazzam,  ^ 2
the children of nekoda, the children of gazzam, the children  ^ 2
of nekoda, the children of gazzam, the children of uzza,  ^ 2
the children of gazzam, the children of uzza, the children  ^ 2
three hundred seventy and two. the children  ^ 2
hundred seventy and two. the children of arah,  ^ 2
the children of bakbuk, the children of hakupha, the children  ^ 2
of bakbuk, the children of hakupha, the children of harhur,  ^ 2
the children of hakupha, the children of harhur, the children  ^ 2
the children of mehida, the children of harsha, the children  ^ 2
of mehida, the children of harsha, the children of barkos,  ^ 2
the children of harsha, the children of barkos, the children  ^ 2
of harsha, the children of barkos, the children of sisera,  ^ 2
the children of barkos, the children of sisera, the children  ^ 2
the children of neziah, the children of hatipha. the children  ^ 2
of neziah, the children of hatipha. the children of solomon's  ^ 2
the children of hatipha. the children of solomon's servants:  ^ 2
of hatipha. the children of solomon's servants: the children  ^ 2
the children of solomon's servants: the children of sotai,  ^ 2
of solomon's servants: the children of sotai, the children  ^ 2
servants: the children of sotai, the children of sophereth,  ^ 2
the children of sotai, the children of sophereth, the children  ^ 2
the children of darkon, the children of giddel, the children  ^ 2
of darkon, the children of giddel, the children of shephatiah,  ^ 2
the children of giddel, the children of shephatiah, the children  ^ 2
of giddel, the children of shephatiah, the children of hattil,  ^ 2
the children of shephatiah, the children of hattil, the children  ^ 2
all the nethinims, and the children of solomon's servants,  ^ 2
the nethinims, and the children of solomon's servants, were three  ^ 2
and the children of solomon's servants, were three hundred  ^ 2
of solomon's servants, were three hundred ninety  ^ 2
servants, were three hundred ninety and two.  ^ 2
were three hundred ninety and two. and these  ^ 2
and immer: but they could not show their father's  ^ 2
but they could not show their father's house,  ^ 2
hundred ninety and two. and these were they which went up  ^ 2
the children of pahath-moab, of the children of jeshua and joab,  ^ 2
of pahath-moab, of the children of jeshua and joab, two thousand  ^ 2
the children of delaiah, the children of tobiah, the children  ^ 2
of delaiah, the children of tobiah, the children of nekoda,  ^ 2
the children of tobiah, the children of nekoda, six  ^ 2
of tobiah, the children of nekoda, six hundred  ^ 2
the children of habaiah, the children of koz, the children  ^ 2
found: therefore were they, as polluted, put from the priesthood. and the tirshatha  ^ 2
of the most holy things, till there stood up a priest with urim  ^ 2
therefore were they, as polluted, put from the priesthood. and the tirshatha said  ^ 2
the priesthood. and the tirshatha said unto them, that they should not  ^ 2
and the tirshatha said unto them, that they should not eat  ^ 2
said unto them, that they should not eat of the most holy things,  ^ 2
unto them, that they should not eat of the most holy things, till  ^ 2
eat of the most holy things, till there stood up a priest  ^ 2
the whole congregation together was forty and two thousand  ^ 2
congregation together was forty and two thousand three  ^ 2
together was forty and two thousand three hundred  ^ 2
was forty and two thousand three hundred and threescore,  ^ 2
and two thousand three hundred and threescore, beside  ^ 2
thousand three hundred thirty and seven:  ^ 2
of whom there were seven thousand three hundred  ^ 2
there were seven thousand three hundred thirty  ^ 2
the children of elam, a thousand two hundred fifty  ^ 2
of elam, a thousand two hundred fifty and four.  ^ 2
two hundred fifty and four. the children of zattu,  ^ 2
hundred forty and five. the children of zaccai,  ^ 2
forty and five. the children of zaccai, seven  ^ 2
and five. the children of zaccai, seven hundred  ^ 2
the children of zaccai, seven hundred and threescore.  ^ 2
zerubbabel the son of shealtiel, and jeshua the son  ^ 2
the son of shealtiel, and jeshua the son of jozadak,  ^ 2
the just shall live by faith.  ^ 2
the works of the law, or by the hearing  ^ 2
of the law, or by the hearing of faith?  ^ 2
neither circumcision availeth any thing, nor  ^ 2
jesus christ be with your spirit.  ^ 2
christ be with your spirit. amen.  ^ 2
lord jesus christ be with your  ^ 2
saw that it was good. and god said,  ^ 2
and god saw that it was good. and the evening  ^ 2
saw that it was good. and the evening and the morning  ^ 2
that it was good. and the evening and the morning were  ^ 2
after his kind: and god saw that it was good.  ^ 2
four hundred and three years, and begot  ^ 2
hundred and three years, and begot sons  ^ 2
and three years, and begot sons and daughters.  ^ 2
hundred and thirty years, and begot sons  ^ 2
behold now, i have taken upon me to speak unto  ^ 2
with him, that we may preserve seed of our father. and they made  ^ 2
him, that we may preserve seed of our father. and they made their father  ^ 2
seed of our father. and they made their father drink  ^ 2
of our father. and they made their father drink wine  ^ 2
and they made their father drink wine that  ^ 2
and abimelech said unto abraham, what  ^ 2
and in thy seed shall all the nations of the earth be blessed;  ^ 2
shall all the nations of the earth be blessed; because  ^ 2
his father, and said, my father: and he said, here  ^ 2
i dwell: but thou shalt go unto  ^ 2
was forty years old when he took  ^ 2
the stone from the well's mouth, and watered  ^ 2
and she conceived again, and bore a son; and said,  ^ 2
and zilpah leah's maid bore jacob  ^ 2
not to jacob either good or bad.  ^ 2
he and all the people that were with  ^ 2
my voice and cried, that he left his garment with  ^ 2
are three days: yet within three days  ^ 2
days: yet within three days shall pharaoh  ^ 2
yet within three days shall pharaoh lift up  ^ 2
and, behold, there came up out of the river seven  ^ 2
and, behold, seven other kine came up  ^ 2
seven other kine came up after  ^ 2
which asenath the daughter of poti-pherah priest  ^ 2
asenath the daughter of poti-pherah priest of on  ^ 2
the daughter of poti-pherah priest of on bore  ^ 2
see my face, except your brother be with  ^ 2
and joseph said unto his brethren, i  ^ 2
and onan died in the land of canaan. and the sons  ^ 2
which abraham bought with the field  ^ 2
lived sixty and five years, and begot  ^ 2
hundred years, and begot sons and daughters:  ^ 2
upon the earth forty days and forty  ^ 2
and every creeping thing that creepeth upon the earth  ^ 2
and his sons, and his wife, and his sons' wives with  ^ 2
and he stayed yet other seven days;  ^ 2
blood, and for the violence of the land, of the city, and of all  ^ 2
and for the violence of the land, of the city, and of all that dwell  ^ 2
came the word of the lord by haggai  ^ 2
zerubbabel the son of shealtiel, governor of judah,  ^ 2
the son of shealtiel, governor of judah, and to  ^ 2
of shealtiel, governor of judah, and to joshua  ^ 2
governor of judah, and to joshua the son  ^ 2
of judah, and to joshua the son of josedech,  ^ 2
and to joshua the son of josedech, the high  ^ 2
joshua the son of josedech, the high priest,  ^ 2
the word of the lord by haggai the prophet,  ^ 2
of the lord by haggai the prophet, saying,  ^ 2
saith the lord of hosts; consider your ways.  ^ 2
after those days, saith the lord,  ^ 2
those days, saith the lord, i will put  ^ 2
i will put my laws into their  ^ 2
this is the covenant that i will make  ^ 2
grace be with you all. amen.  ^ 2
voice, harden not your hearts,  ^ 2
harden not your hearts, as  ^ 2
not your hearts, as in  ^ 2
your hearts, as in the  ^ 2
after the order of melchizedek. for  ^ 2
thou art a priest forever after the  ^ 2
repent, thou art a priest forever after  ^ 2
in the days of uzziah, jotham, ahaz, and hezekiah,  ^ 2
