Phrase ^ Count
thus saith the lord  ^ 223
and the lord preserved david  ^ 2
of the house of saul, that i may show  ^ 2
of machir, the son of ammiel,  ^ 2
the son of jonathan, the son  ^ 2
thee all the land  ^ 2
the lord jesus christ:  ^ 2
and ye in  ^ 2
grace of our god  ^ 2
of the kingdom of god,  ^ 2
when the lord  ^ 2
from the glory  ^ 2
not the love  ^ 2
us, and hath given  ^ 2
the son of perdition;  ^ 2
yet with you,  ^ 2
even when we were  ^ 2
but the lord  ^ 2
and into the  ^ 2
and not after  ^ 2
after the tradition  ^ 2
in the name of our  ^ 2
the name of our lord  ^ 2
by the holy ghost  ^ 2
the lord give  ^ 2
that day: and  ^ 2
jesus our lord.  ^ 2
thee by the  ^ 2
the gift of god,  ^ 2
that is in christ  ^ 2
is in christ jesus  ^ 2
christ jesus. and  ^ 2
and some to  ^ 2
unto every good  ^ 2
of the seed of david  ^ 2
know also, that  ^ 2
also, that in  ^ 2
yea, and all  ^ 2
that the man  ^ 2
before god, and  ^ 2
is with me.  ^ 2
shall deliver me from  ^ 2
forever and ever. amen. salute  ^ 2
grace be with you.  ^ 2
from the truth,  ^ 2
of the truth  ^ 2
salute thee. greet  ^ 2
two men stood by  ^ 2
men stood by them  ^ 2
stood by them in  ^ 2
bartholomew, and matthew,  ^ 2
holy ghost by  ^ 2
and it was known  ^ 2
in the book of psalms,  ^ 2
beginning from the  ^ 2
shall be baptized with the holy  ^ 2
not many days  ^ 2
baptized with water; but  ^ 2
with water; but ye  ^ 2
but ye shall be baptized  ^ 2
ye shall be baptized with  ^ 2
at this time  ^ 2
which the father  ^ 2
you: and ye shall be  ^ 2
there was a certain  ^ 2
the sixth hour: and  ^ 2
to the earth:  ^ 2
heaven opened, and  ^ 2
wild beasts, and creeping things,  ^ 2
and creeping things, and  ^ 2
creeping things, and fowls  ^ 2
and fowls of the  ^ 2
fowls of the air.  ^ 2
earth, and wild beasts,  ^ 2
and wild beasts, and  ^ 2
of the air. and  ^ 2
and eat. but  ^ 2
but peter said,  ^ 2
what god hath cleansed,  ^ 2
god hath cleansed, that call not thou common.  ^ 2
again the second time,  ^ 2
again into heaven.  ^ 2
behold, the men  ^ 2
the men which were sent  ^ 2
the spirit said  ^ 2
all his house,  ^ 2
into his house,  ^ 2
his house, and  ^ 2
and certain brethren  ^ 2
and fell down at his feet,  ^ 2
unto them, ye  ^ 2
him, and saying  ^ 2
and at the ninth  ^ 2
at the ninth hour  ^ 2
and thine alms  ^ 2
of god. then  ^ 2
god. then peter  ^ 2
and said, of a truth  ^ 2
by jesus christ:  ^ 2
throughout all judea,  ^ 2
god was with  ^ 2
was with him.  ^ 2
in the land  ^ 2
of the jews, and  ^ 2
and we are  ^ 2
and said, what is  ^ 2
the third day,  ^ 2
rose from the dead.  ^ 2
unto the people, and  ^ 2
ghost fell on  ^ 2
fell on all  ^ 2
holy ghost fell  ^ 2
the word. and  ^ 2
the gift of the  ^ 2
gift of the holy  ^ 2
holy ghost. for  ^ 2
god. then answered  ^ 2
then answered peter,  ^ 2
and he commanded them  ^ 2
name of the lord.  ^ 2
send men to  ^ 2
men to joppa,  ^ 2
joppa, and call for  ^ 2
with one simon  ^ 2
to do. and when  ^ 2
the angel which spake  ^ 2
he sent them to  ^ 2
about the sixth hour:  ^ 2
certain days. and  ^ 2
received the word  ^ 2
unto me. and  ^ 2
and we entered into  ^ 2
we entered into the  ^ 2
in his house,  ^ 2
on the lord  ^ 2
when they heard these things,  ^ 2
glorified god, saying,  ^ 2
preaching the word  ^ 2
of them were  ^ 2
and the hand of the lord  ^ 2
of the lord was with  ^ 2
with them: and  ^ 2
the lord. then  ^ 2
of the church which  ^ 2
the grace of god,  ^ 2
full of the holy ghost  ^ 2
of the holy ghost and  ^ 2
people. and the  ^ 2
and when he had found him,  ^ 2
unto antioch. and  ^ 2
from jerusalem unto  ^ 2
them. but peter  ^ 2
i was in  ^ 2
a voice saying unto me,  ^ 2
that time herod  ^ 2
time herod the  ^ 2
herod the king  ^ 2
and forthwith the  ^ 2
the angel departed  ^ 2
angel departed from  ^ 2
departed from him.  ^ 2
that the lord hath sent  ^ 2
to himself, he said,  ^ 2
to the house  ^ 2
said unto her,  ^ 2
the prison. and  ^ 2
declared unto them how  ^ 2
no small stir  ^ 2
them john, whose surname was mark.  ^ 2
barnabas and saul  ^ 2
the angel of the lord came upon  ^ 2
angel said unto  ^ 2
herod the tetrarch,  ^ 2
there were in the  ^ 2
and immediately there fell  ^ 2
on the sabbath day,  ^ 2
in the land of egypt,  ^ 2
the land of egypt, and  ^ 2
at jerusalem, and  ^ 2
raised him from  ^ 2
are his witnesses  ^ 2
unto the people.  ^ 2
unto the fathers,  ^ 2
in the second  ^ 2
my son, this day  ^ 2
son, this day have i  ^ 2
have i begotten thee.  ^ 2
thine holy one to see  ^ 2
holy one to see corruption.  ^ 2
also in another  ^ 2
be it known unto you  ^ 2
by the law  ^ 2
the law of moses.  ^ 2
and by him  ^ 2
and when the jews  ^ 2
followed paul and  ^ 2
paul and barnabas:  ^ 2
many of the jews  ^ 2
word of god. but  ^ 2
but when the jews  ^ 2
paul and barnabas  ^ 2
of the lord: and  ^ 2
and as many as were  ^ 2
of the jews: and  ^ 2
and barnabas, and  ^ 2
jews stirred up the  ^ 2
with the holy ghost. and  ^ 2
the synagogue of the  ^ 2
ghost. and it came to pass  ^ 2
said with a loud voice,  ^ 2
they lifted up their voices,  ^ 2
because he was  ^ 2
barnabas and paul,  ^ 2
crying out, and saying,  ^ 2
him out of the city,  ^ 2
the city: and  ^ 2
and the next day  ^ 2
and came into the  ^ 2
in the faith, and  ^ 2
the work which  ^ 2
god had done with  ^ 2
unto the gentiles. and  ^ 2
word of his grace,  ^ 2
signs and wonders  ^ 2
his mother's womb,  ^ 2
the disciples. and  ^ 2
god had wrought among  ^ 2
had wrought among the  ^ 2
the gentiles by  ^ 2
for his name.  ^ 2
his name. and  ^ 2
and certain other  ^ 2
and from things strangled, and  ^ 2
to send chosen men  ^ 2
apostles and elders,  ^ 2
judas and silas,  ^ 2
to the holy ghost,  ^ 2
holy ghost, and  ^ 2
and from blood, and  ^ 2
brethren unto the  ^ 2
unto the apostles.  ^ 2
peace from the  ^ 2
of the apostles and  ^ 2
by the brethren  ^ 2
unto them, men  ^ 2
them, men and brethren,  ^ 2
and believe. and  ^ 2
between us and  ^ 2
and, behold, a certain  ^ 2
and a certain woman  ^ 2
a certain woman named  ^ 2
saying, these men  ^ 2
thee in the  ^ 2
paul and silas,  ^ 2
and brought them  ^ 2
against them: and  ^ 2
paul and silas  ^ 2
and suddenly there was  ^ 2
there was a great earthquake,  ^ 2
the foundations of the  ^ 2
and the keeper of the prison  ^ 2
him because of the  ^ 2
with him; and  ^ 2
believe on the  ^ 2
thy house. and  ^ 2
his house. and  ^ 2
the same hour  ^ 2
them into his  ^ 2
of the apostles  ^ 2
of the city. and  ^ 2
they went out of the  ^ 2
them not. and  ^ 2
prayed him, saying,  ^ 2
and the brethren  ^ 2
many of them  ^ 2
not a few. but  ^ 2
when the jews  ^ 2
to the sea:  ^ 2
said, what will  ^ 2
and they took him,  ^ 2
stood in the midst  ^ 2
dwelleth not in  ^ 2
not in temples  ^ 2
in temples made with hands;  ^ 2
for in him  ^ 2
from the dead; and  ^ 2
and others said,  ^ 2
paul departed from  ^ 2
is christ. and  ^ 2
a great multitude, and  ^ 2
the people and  ^ 2
i am with  ^ 2
and six months,  ^ 2
him to the  ^ 2
unto the jews,  ^ 2
you: but if  ^ 2
but if it be  ^ 2
them from the  ^ 2
into syria, and  ^ 2
with his wife  ^ 2
a certain jew named  ^ 2
and saluted the  ^ 2
all the disciples.  ^ 2
in the scriptures,  ^ 2
of the lord,  ^ 2
of the lord; and  ^ 2
and he began  ^ 2
in the synagogue:  ^ 2
lord with all  ^ 2
was christ. and  ^ 2
heard the word  ^ 2
by the hands  ^ 2
and the evil  ^ 2
the evil spirit  ^ 2
and the man  ^ 2
and fear fell  ^ 2
all, and the  ^ 2
to go to jerusalem,  ^ 2
to jerusalem, saying,  ^ 2
of the great goddess  ^ 2
great is diana of the ephesians.  ^ 2
is diana of the ephesians. and  ^ 2
into the theater.  ^ 2
the people, the  ^ 2
himself into the  ^ 2
the things concerning the  ^ 2
concerning the kingdom  ^ 2
before the multitude,  ^ 2
and when the day  ^ 2
they were all with one accord  ^ 2
all with one accord in  ^ 2
and they were all amazed,  ^ 2
they were all amazed, and  ^ 2
his voice, and  ^ 2
of the day. but  ^ 2
but this is  ^ 2
by the prophet  ^ 2
my spirit upon  ^ 2
and signs in  ^ 2
the name of the lord  ^ 2
name of the lord shall be saved.  ^ 2
him in the midst  ^ 2
in hell, neither  ^ 2
with us unto  ^ 2
and there appeared unto them  ^ 2
but he saith  ^ 2
my right hand, until  ^ 2
right hand, until i make  ^ 2
jesus, whom ye  ^ 2
that god hath made  ^ 2
of jesus christ for  ^ 2
the lord our god  ^ 2
and they were all filled  ^ 2
they were all filled with the holy  ^ 2
and the same  ^ 2
wonders and signs  ^ 2
and fear came  ^ 2
had need. and  ^ 2
praising god, and  ^ 2
and they were all amazed  ^ 2
for his life  ^ 2
is in him.  ^ 2
in him. when  ^ 2
and they brought the  ^ 2
at jerusalem the  ^ 2
the first day that  ^ 2
toward god, and  ^ 2
now, behold, i  ^ 2
with joy, and  ^ 2
preaching the kingdom  ^ 2
my face no more.  ^ 2
the blood of all  ^ 2
the church of god,  ^ 2
among you, not  ^ 2
know this, that  ^ 2
and now, brethren,  ^ 2
the words which  ^ 2
and the day following  ^ 2
both we, and  ^ 2
to jerusalem. then  ^ 2
will of the lord  ^ 2
and after those  ^ 2
after those days  ^ 2
one of them. and  ^ 2
against the people,  ^ 2
people, and the  ^ 2
in the city  ^ 2
of the temple: and  ^ 2
the city was moved,  ^ 2
when they saw the  ^ 2
the castle. and  ^ 2
the violence of the  ^ 2
of the people. for  ^ 2
for the multitude  ^ 2
multitude of the people  ^ 2
to speak unto the  ^ 2
i am a man  ^ 2
jerusalem. and when  ^ 2
day. and the  ^ 2
men, brethren, and  ^ 2
brethren, and fathers,  ^ 2
arise, and go into  ^ 2
the jews which dwelt  ^ 2
according to the law,  ^ 2
and the same hour  ^ 2
his will, and  ^ 2
god of our fathers  ^ 2
of the lord. and  ^ 2
lord. and it came to pass,  ^ 2
know that i  ^ 2
he said unto me,  ^ 2
and paul said,  ^ 2
and the chief captain  ^ 2
at the feet  ^ 2
ye all are  ^ 2
of the jews,  ^ 2
and commanded the  ^ 2
chief priests and all  ^ 2
both men and  ^ 2
men and women.  ^ 2
persecutest thou me? and  ^ 2
whom thou persecutest.  ^ 2
not the voice  ^ 2
men and brethren, i  ^ 2
and the night  ^ 2
nor drink till  ^ 2
to the chief priests and  ^ 2
this young man unto  ^ 2
took him, and brought  ^ 2
him, and brought him to  ^ 2
and brought him to the  ^ 2
took him by the  ^ 2
him by the hand,  ^ 2
by the hand, and  ^ 2
this day. and  ^ 2
worthy of death or  ^ 2
of death or of bonds.  ^ 2
then the soldiers,  ^ 2
him, and returned to  ^ 2
on the morrow  ^ 2
pharisees and the  ^ 2
that there is no resurrection,  ^ 2
and there arose a great  ^ 2
with the elders,  ^ 2
i went up to jerusalem  ^ 2
neither in the  ^ 2
all things which are written in  ^ 2
which are written in the  ^ 2
that after the  ^ 2
before thee, and  ^ 2
and heard him  ^ 2
him concerning the  ^ 2
faith in christ.  ^ 2
and after certain  ^ 2
the jews a pleasure,  ^ 2
to come unto thee:  ^ 2
of the jews informed  ^ 2
on the judgment seat,  ^ 2
the high priest and  ^ 2
high priest and the  ^ 2
and the chief  ^ 2
the chief of the  ^ 2
to jerusalem, and there  ^ 2
jerusalem, and there be judged  ^ 2
and there be judged of  ^ 2
the chief captains, and  ^ 2
and on the morrow,  ^ 2
whom all the  ^ 2
sitting on the  ^ 2
which came down from jerusalem  ^ 2
neither against the  ^ 2
the law of the  ^ 2
said unto paul,  ^ 2
authority from the  ^ 2
with authority and  ^ 2
i saw in the  ^ 2
it is hard for thee to kick  ^ 2
for thee to kick against  ^ 2
to kick against the pricks.  ^ 2
against the pricks. and  ^ 2
am jesus whom  ^ 2
jesus whom thou  ^ 2
thee from the  ^ 2
from the people,  ^ 2
and throughout all  ^ 2
all the coasts  ^ 2
the prophets and  ^ 2
and when he had thus  ^ 2
when he had thus spoken,  ^ 2
nothing worthy of death  ^ 2
this man doeth  ^ 2
of the jews.  ^ 2
saying, fear not,  ^ 2
with us. and  ^ 2
then the soldiers  ^ 2
in the ship  ^ 2
wheat into the  ^ 2
and when it was  ^ 2
when it was day,  ^ 2
of cilicia and  ^ 2
when we came to  ^ 2
and it came to pass, that after  ^ 2
into the hands  ^ 2
the hands of the  ^ 2
it came to pass, that after three  ^ 2
that after three days  ^ 2
cause of death in  ^ 2
in me. but  ^ 2
me. but when the  ^ 2
out of the law  ^ 2
law of moses, and  ^ 2
ye shall hear, and shall not  ^ 2
and shall not understand;  ^ 2
shall not understand; and  ^ 2
understand; and seeing  ^ 2
and seeing ye shall see,  ^ 2
seeing ye shall see, and  ^ 2
saying, go unto  ^ 2
their ears are dull of hearing, and  ^ 2
are dull of hearing, and their  ^ 2
they should see with their eyes, and  ^ 2
with their eyes, and hear  ^ 2
and hear with their ears,  ^ 2
hear with their ears, and  ^ 2
understand with their heart, and  ^ 2
with their heart, and should be converted,  ^ 2
and should be converted, and  ^ 2
should be converted, and i should heal  ^ 2
is waxed gross, and their ears  ^ 2
and their ears are dull of hearing,  ^ 2
unto the gentiles, and  ^ 2
therefore unto you, that  ^ 2
and when he had said  ^ 2
and laid them on  ^ 2
on his hand,  ^ 2
into the fire,  ^ 2
 in the  ^ 2
and it came to pass, that the  ^ 2
peter and john,  ^ 2
the faith which  ^ 2
by the mouth of all  ^ 2
the mouth of all his  ^ 2
and a certain man  ^ 2
a prophet shall the lord your  ^ 2
shall the lord your god  ^ 2
your god raise up  ^ 2
god raise up unto you  ^ 2
raise up unto you of  ^ 2
unto you of your  ^ 2
of your brethren,  ^ 2
your brethren, like unto  ^ 2
brethren, like unto me;  ^ 2
like unto me; him  ^ 2
all the prophets  ^ 2
kindreds of the earth  ^ 2
of them. then  ^ 2
then peter said,  ^ 2
and walk. and  ^ 2
and immediately his  ^ 2
and he took him  ^ 2
the people saw  ^ 2
the captain of the  ^ 2
temple, and the  ^ 2
themselves, saying, what  ^ 2
the name of jesus.  ^ 2
but peter and  ^ 2
the resurrection from  ^ 2
them, because of the  ^ 2
sea, and all  ^ 2
and against his  ^ 2
it at the apostles'  ^ 2
the apostles' feet.  ^ 2
the high priest, and  ^ 2
apostles' feet. but  ^ 2
a certain man named  ^ 2
and the young men  ^ 2
great fear came  ^ 2
upon all the  ^ 2
in solomon's porch.  ^ 2
the streets, and  ^ 2
with unclean spirits:  ^ 2
laid their hands  ^ 2
the apostles, and  ^ 2
in the prison,  ^ 2
temple and the  ^ 2
heard these things,  ^ 2
saying, behold, the  ^ 2
for they feared the  ^ 2
the high priest asked  ^ 2
asked them, saying,  ^ 2
holy ghost, whom  ^ 2
whom god hath given  ^ 2
for before these  ^ 2
before these days  ^ 2
it be of god,  ^ 2
fear came on  ^ 2
came on all  ^ 2
and it was about  ^ 2
blasphemous words against  ^ 2
and brought him to  ^ 2
and the elders,  ^ 2
place, and the  ^ 2
this place, and  ^ 2
multitude of the disciples  ^ 2
full of faith and  ^ 2
of the holy ghost, and  ^ 2
and philip, and  ^ 2
word. and the  ^ 2
of pharaoh king of egypt;  ^ 2
all his house.  ^ 2
and delivered him  ^ 2
and at the  ^ 2
into egypt, and  ^ 2
which knew not  ^ 2
knew not joseph.  ^ 2
saying, who made  ^ 2
who made thee  ^ 2
made thee a ruler  ^ 2
thee a ruler and  ^ 2
this saying, and  ^ 2
come into the land  ^ 2
came unto him,  ^ 2
unto him, saying, i  ^ 2
the god of jacob.  ^ 2
for the place  ^ 2
thou standest is holy  ^ 2
the wilderness forty  ^ 2
with the angel  ^ 2
in the mount  ^ 2
out of the land of egypt,  ^ 2
in the wilderness?  ^ 2
is the place of my rest?  ^ 2
and to his seed  ^ 2
and he gave him  ^ 2
as your fathers  ^ 2
standing on the right hand  ^ 2
the heavens opened,  ^ 2
heavens opened, and  ^ 2
opened, and the  ^ 2
and cast him out  ^ 2
and cried with a loud voice,  ^ 2
years. and the  ^ 2
from the least to  ^ 2
but peter said  ^ 2
for me, that  ^ 2
arise, and go  ^ 2
the prophet isaiah,  ^ 2
said, how can  ^ 2
him.  the  ^ 2
from the earth.  ^ 2
and the eunuch  ^ 2
and as they went  ^ 2
out of the water,  ^ 2
the miracles which  ^ 2
miracles which he did.  ^ 2
the children of israel: for  ^ 2
the synagogues, that  ^ 2
he is the  ^ 2
all judea and  ^ 2
years, and was  ^ 2
the lord. now  ^ 2
him two men,  ^ 2
and when he had called the  ^ 2
believed in the  ^ 2
and many believed  ^ 2
and it came to pass, that he  ^ 2
many days in  ^ 2
in the days of uzziah king  ^ 2
and in the days of jeroboam the son  ^ 2
but i will send a fire on the wall  ^ 2
together, saith the lord.  ^ 2
and utter his voice from jerusalem;  ^ 2
of israel? saith the lord.  ^ 2
not. behold, i  ^ 2
day, saith the lord.  ^ 2
the lord. hear this  ^ 2
this word that  ^ 2
the lord hath spoken against  ^ 2
the lord god, the god  ^ 2
and the lord hath not done  ^ 2
me, saith the lord. therefore  ^ 2
upon the high places of the earth,  ^ 2
the lord god hath sworn  ^ 2
the days shall come upon  ^ 2
for the waters of the sea, and poureth them out  ^ 2
of the sea, and poureth them out upon  ^ 2
and poureth them out upon the face  ^ 2
the face of the earth: the lord  ^ 2
saith the lord the god  ^ 2
behold, i will raise up against  ^ 2
o house of israel, saith  ^ 2
said unto me, go,  ^ 2
i beseech thee: by whom shall jacob  ^ 2
by whom shall jacob arise?  ^ 2
shall jacob arise? for  ^ 2
arise? for he  ^ 2
for he is small.  ^ 2
he is small. the lord  ^ 2
is small. the lord repented  ^ 2
the lord repented for  ^ 2
repented for this:  ^ 2
in his hand. and the lord said  ^ 2
of egypt. and it shall come to pass in that  ^ 2
and inhabit them ; and they shall plant vineyards,  ^ 2
every good work,  ^ 2
whom we have redemption  ^ 2
we have redemption through  ^ 2
redemption through his  ^ 2
through his blood,  ^ 2
are in heaven, and  ^ 2
him: and he  ^ 2
is the head  ^ 2
the blood of his  ^ 2
every creature which  ^ 2
a minister, according to the  ^ 2
which is christ  ^ 2
riches of the glory  ^ 2
in all wisdom;  ^ 2
to god and the father  ^ 2
all the saints.  ^ 2
of your faith in  ^ 2
faith in christ  ^ 2
christ jesus, and  ^ 2
the saints. for  ^ 2
since the day  ^ 2
of god in truth:  ^ 2
in all wisdom  ^ 2
all wisdom and  ^ 2
him, which is  ^ 2
which is the  ^ 2
the body of the  ^ 2
rudiments of the world,  ^ 2
the rudiments of the  ^ 2
the commandments and  ^ 2
and this i say,  ^ 2
the tradition of men,  ^ 2
all the fullness  ^ 2
even as christ  ^ 2
ye are called in one  ^ 2
in psalms and hymns  ^ 2
and hymns and  ^ 2
hymns and spiritual  ^ 2
and spiritual songs,  ^ 2
spiritual songs, singing  ^ 2
in your hearts  ^ 2
wives, submit yourselves unto your own  ^ 2
submit yourselves unto your own husbands,  ^ 2
unto your own husbands, as  ^ 2
not with eyeservice,  ^ 2
with eyeservice, as  ^ 2
eyeservice, as menpleasers;  ^ 2
as menpleasers; but  ^ 2
lord, and not  ^ 2
as to the lord,  ^ 2
the earth. for  ^ 2
the children of disobedience:  ^ 2
saluteth you, and  ^ 2
unto the kingdom  ^ 2
also in the  ^ 2
as i ought  ^ 2
i ought to speak.  ^ 2
whom i have sent unto  ^ 2
i have sent unto you  ^ 2
unto you for  ^ 2
you for the same purpose,  ^ 2
for the same purpose, that  ^ 2
in the third year of the reign  ^ 2
came nebuchadnezzar king  ^ 2
daniel, hananiah, mishael,  ^ 2
hananiah, mishael, and azariah:  ^ 2
jehoiakim king of judah  ^ 2
such words unto  ^ 2
day of the first month,  ^ 2
mine eyes, and looked, and behold  ^ 2
in the first year of darius  ^ 2
even to the time of the end:  ^ 2
clothed in linen, which  ^ 2
in linen, which was upon  ^ 2
which was upon the waters  ^ 2
was upon the waters of the river,  ^ 2
then said i, o my lord, what  ^ 2
before the king, and said,  ^ 2
all the wise men of babylon.  ^ 2
then daniel answered  ^ 2
of the god of heaven  ^ 2
the interpretation. the king answered  ^ 2
the king answered and said  ^ 2
whose name was belteshazzar,  ^ 2
and behold a great  ^ 2
o king, live forever:  ^ 2
fell upon his face,  ^ 2
ye will not make known unto me the dream,  ^ 2
the thing is gone from  ^ 2
the king answered and said,  ^ 2
sackbut, psaltery, and dulcimer,  ^ 2
psaltery, and dulcimer, and all  ^ 2
and dulcimer, and all kinds  ^ 2
that every man  ^ 2
of a burning fiery furnace.  ^ 2
thy gods, nor worship  ^ 2
image which thou hast set up.  ^ 2
whom thou hast set over  ^ 2
which thou hast set up. then  ^ 2
shadrach, meshach, and abed-nego.  ^ 2
ye hear the sound of the cornet,  ^ 2
kinds of music, ye fall down  ^ 2
of music, ye fall down and worship  ^ 2
time ye hear the sound  ^ 2
the judges, the treasurers, the counselors,  ^ 2
the treasurers, the counselors, the sheriffs,  ^ 2
the counselors, the sheriffs, and all  ^ 2
the sheriffs, and all the rulers  ^ 2
nebuchadnezzar the king had set up.  ^ 2
fiery furnace. then  ^ 2
into the midst of the burning fiery  ^ 2
of the burning fiery furnace.  ^ 2
fiery furnace. therefore  ^ 2
of shadrach, meshach,  ^ 2
the golden image that  ^ 2
image that nebuchadnezzar  ^ 2
o king, live forever.  ^ 2
dwell in all the earth;  ^ 2
in all the earth; peace  ^ 2
the earth; peace be multiplied  ^ 2
unto all people, nations,  ^ 2
nations, and languages, that  ^ 2
and languages, that dwell  ^ 2
that dwell in all  ^ 2
and the fruit thereof much, and in it was meat  ^ 2
iron and brass, in the tender grass  ^ 2
and brass, in the tender grass of  ^ 2
in the tender grass of the field;  ^ 2
of the field; and let it be wet  ^ 2
the field; and let it be wet with the dew  ^ 2
and let it be wet with the dew of heaven,  ^ 2
with the dew of heaven, and let his portion  ^ 2
of heaven, and let his portion be with  ^ 2
and let his portion be with the beasts  ^ 2
even with a band of iron  ^ 2
of iron and brass,  ^ 2
times pass over  ^ 2
the spirit of the holy gods  ^ 2
and seven times shall pass  ^ 2
times shall pass over  ^ 2
thou know that the most high  ^ 2
and giveth it to whomsoever he will.  ^ 2
thee from men, and thy dwelling  ^ 2
and his body was wet with the dew  ^ 2
and the visions of my head troubled  ^ 2
that daniel, which  ^ 2
the children of the captivity of  ^ 2
of the captivity of judah,  ^ 2
and the king spoke and said  ^ 2
spoke and said unto daniel,  ^ 2
with scarlet, and have a chain of  ^ 2
and have a chain of gold  ^ 2
and his princes, his wives, and his concubines,  ^ 2
gold about his neck,  ^ 2
of the house of god  ^ 2
any god or man  ^ 2
thirty days, save  ^ 2
days, save of  ^ 2
save of thee, o king,  ^ 2
answered and said, the thing  ^ 2
according to the law of the medes and persians,  ^ 2
of the medes and persians, which  ^ 2
and persians, which altereth  ^ 2
which altereth not.  ^ 2
whom thou servest  ^ 2
thou servest continually,  ^ 2
that the princes  ^ 2
he is the living god,  ^ 2
and his kingdom that which shall not  ^ 2
i make a decree, that  ^ 2
i saw in the night visions,  ^ 2
unto one of  ^ 2
after this i beheld,  ^ 2
was by the river  ^ 2
the face of the whole earth,  ^ 2
the voice of the lord our god,  ^ 2
and hear; open thine eyes,  ^ 2
to jeremiah the prophet,  ^ 2
which moses spoke  ^ 2
and made them heads over  ^ 2
the lord our god commanded  ^ 2
the lord our god doth give  ^ 2
unto the valley of eshcol,  ^ 2
to deliver us into the hand of the amorites,  ^ 2
us into the hand of the amorites, to destroy  ^ 2
month, on the first day of the month,  ^ 2
until ye came into  ^ 2
ye came into this  ^ 2
into this place.  ^ 2
how that the lord thy god  ^ 2
heard the voice of your words,  ^ 2
that good land, which  ^ 2
save caleb the son  ^ 2
saying, thou also  ^ 2
but joshua the son of nun,  ^ 2
which ye said should be  ^ 2
ye said should be a prey,  ^ 2
and og the king of bashan,  ^ 2
into the wilderness by the way of the red  ^ 2
by the way of the red sea.  ^ 2
said unto me, say  ^ 2
unto the great river,  ^ 2
you at that time, saying,  ^ 2
tables of stone like unto the first,  ^ 2
time the lord said  ^ 2
thee two tables of stone  ^ 2
hearkened unto me at that  ^ 2
unto me at that time  ^ 2
the land, which i swore  ^ 2
which i swore unto their fathers  ^ 2
i swore unto their fathers to give  ^ 2
the lord thy god, to walk  ^ 2
to walk in all his ways,  ^ 2
require of thee, but  ^ 2
for ye were strangers  ^ 2
the words that were  ^ 2
you in the mount out of the midst of the fire  ^ 2
out of the midst of the fire in the day  ^ 2
commandments, which the lord  ^ 2
and came down from the mount,  ^ 2
this day. wherefore  ^ 2
no part nor inheritance  ^ 2
him with all your heart and with all  ^ 2
quickly from off the good  ^ 2
from off the good land  ^ 2
of them when thou sittest in thine house, and when thou walkest  ^ 2
in thine house, and when thou walkest by the way,  ^ 2
the lord swore unto your fathers  ^ 2
swore unto your fathers to give  ^ 2
upon the earth. for  ^ 2
these commandments which  ^ 2
commandments which i  ^ 2
all these nations  ^ 2
there shall no man be able to stand  ^ 2
man be able to stand before  ^ 2
to go after other  ^ 2
gods, which ye have not  ^ 2
unto the land whither  ^ 2
to possess the land which  ^ 2
and judgments which i  ^ 2
which i set  ^ 2
the water of the red sea  ^ 2
opened her mouth, and swallowed them up,  ^ 2
and abiram, the sons of eliab,  ^ 2
the land, whither ye  ^ 2
your days in the land,  ^ 2
the lord your god shall choose  ^ 2
and ye shall rejoice before the lord  ^ 2
according to the blessing of the lord thy god  ^ 2
of the lord thy god which  ^ 2
thy god which he hath given  ^ 2
it upon the earth as water.  ^ 2
and thy manservant, and thy maidservant, and the levite  ^ 2
and thy maidservant, and the levite that  ^ 2
and thou shalt rejoice before the lord  ^ 2
the high mountains, and upon  ^ 2
whatsoever thy soul lusteth after.  ^ 2
thou shalt do that which is right in the sight  ^ 2
that which is right in the sight of the lord.  ^ 2
which the lord shall choose:  ^ 2
these words which  ^ 2
do so unto the lord  ^ 2
unto the lord thy god: for  ^ 2
thy god, which brought thee out of the land  ^ 2
saying, let us go and serve  ^ 2
let us go and serve other  ^ 2
certain, that such abomination  ^ 2
that such abomination is wrought  ^ 2
and the thing certain, that such  ^ 2
command thee this day, to do  ^ 2
to the voice of the lord thy god,  ^ 2
thy god, to keep all  ^ 2
gods, which thou hast not  ^ 2
which thou hast not known,  ^ 2
your heart and with all your soul.  ^ 2
prophet, or that  ^ 2
or that dreamer  ^ 2
of the earth even unto the other end  ^ 2
of the people which are round about  ^ 2
shall be first upon him to put him to death,  ^ 2
the eagle, and the ossifrage, and the osprey,  ^ 2
and the owl, and the night hawk, and the cuckoo,  ^ 2
and the night hawk, and the cuckoo, and the hawk  ^ 2
and the cuckoo, and the hawk after his kind,  ^ 2
and the great owl, and the swan, and the pelican,  ^ 2
and the swan, and the pelican, and the gier-eagle,  ^ 2
after her kind, and the lapwing, and the bat.  ^ 2
people unto the lord thy god,  ^ 2
unto the lord thy god. thou shalt not  ^ 2
and shalt go unto the place  ^ 2
there before the lord  ^ 2
he hath no part nor inheritance  ^ 2
may bless thee in all the work  ^ 2
these are the beasts which  ^ 2
eat of them that chew the cud,  ^ 2
of them that chew the cud, or of them that divide  ^ 2
of all that are in the waters:  ^ 2
the lord thy god shall bless  ^ 2
i command thee, saying,  ^ 2
thou shalt open thine hand wide  ^ 2
thou shalt let him go free from  ^ 2
thou wast a bondman in the land  ^ 2
and the lord thy god redeemed  ^ 2
and the lord thy god shall bless  ^ 2
thee in the land which the lord  ^ 2
thy god giveth thee for an inheritance  ^ 2
giveth thee for an inheritance to possess  ^ 2
