Phrase ^ Count
thus saith the lord god;  ^ 95
o lord of hosts, god of israel,  ^ 2
and the lord preserved david whithersoever  ^ 2
in the name of our lord  ^ 2
the name of our lord jesus  ^ 2
christ jesus our lord.  ^ 2
and peace, from god the father  ^ 2
which is in christ jesus  ^ 2
but the word of god  ^ 2
know also, that in  ^ 2
be glory forever and ever. amen. salute  ^ 2
grace be with you. amen.  ^ 2
from the truth, and  ^ 2
behold, two men stood by  ^ 2
two men stood by them  ^ 2
men stood by them in  ^ 2
the holy ghost by  ^ 2
ye shall be baptized with the holy  ^ 2
baptized with water; but ye  ^ 2
with water; but ye shall be baptized  ^ 2
but ye shall be baptized with  ^ 2
he said unto them, it is  ^ 2
about the sixth hour: and  ^ 2
and wild beasts, and creeping things,  ^ 2
wild beasts, and creeping things, and  ^ 2
and creeping things, and fowls  ^ 2
creeping things, and fowls of the  ^ 2
and fowls of the air.  ^ 2
of the earth, and wild beasts,  ^ 2
earth, and wild beasts, and  ^ 2
fowls of the air. and  ^ 2
what god hath cleansed, that call not thou common.  ^ 2
him, and saying unto him,  ^ 2
and at the ninth hour  ^ 2
was with him. and  ^ 2
holy ghost fell on  ^ 2
the holy ghost fell  ^ 2
the gift of the holy  ^ 2
gift of the holy ghost.  ^ 2
of the holy ghost. for  ^ 2
the name of the lord.  ^ 2
send men to joppa,  ^ 2
men to joppa, and  ^ 2
to joppa, and call for  ^ 2
and the apostles and  ^ 2
and we entered into the  ^ 2
on the lord jesus  ^ 2
and glorified god, saying,  ^ 2
the word of god. and  ^ 2
and the hand of the lord was  ^ 2
the hand of the lord was with  ^ 2
full of the holy ghost and  ^ 2
that time herod the  ^ 2
the angel departed from  ^ 2
departed from him. and  ^ 2
the angel said unto  ^ 2
angel said unto him,  ^ 2
and went into the  ^ 2
law and the prophets  ^ 2
in the land of egypt, and  ^ 2
in the wilderness. and  ^ 2
unto the people. and  ^ 2
art my son, this day  ^ 2
my son, this day have i  ^ 2
son, this day have i begotten  ^ 2
thine holy one to see corruption.  ^ 2
he saith also in another  ^ 2
to hear the word of god.  ^ 2
the word of god. but  ^ 2
into the synagogue of the  ^ 2
ghost. and it came to pass in  ^ 2
god had wrought among the  ^ 2
had wrought among the gentiles  ^ 2
among the gentiles by  ^ 2
for his name. and  ^ 2
to the holy ghost, and  ^ 2
unto them, men and brethren,  ^ 2
and a certain woman named  ^ 2
that the word of god  ^ 2
dwelleth not in temples  ^ 2
not in temples made with hands;  ^ 2
great is diana of the ephesians. and  ^ 2
unto the people, the  ^ 2
name of the lord jesus.  ^ 2
the things concerning the kingdom  ^ 2
they were all with one accord in  ^ 2
the name of the lord shall be saved.  ^ 2
my right hand, until i make  ^ 2
then peter said unto  ^ 2
and they were all filled with the holy  ^ 2
they were all filled with the holy ghost,  ^ 2
filled with the holy ghost, and  ^ 2
from the first day that  ^ 2
and now, behold, i  ^ 2
preaching the kingdom of god,  ^ 2
the will of the lord  ^ 2
and after those days  ^ 2
laid hands on him,  ^ 2
the people, and the  ^ 2
and all the city  ^ 2
all the city was moved,  ^ 2
men, brethren, and fathers,  ^ 2
the god of our fathers  ^ 2
and he said unto me,  ^ 2
the chief priests and all  ^ 2
both men and women.  ^ 2
why persecutest thou me? and  ^ 2
eat nor drink till  ^ 2
to the chief priests and elders,  ^ 2
took him, and brought him to  ^ 2
him, and brought him to the  ^ 2
took him by the hand,  ^ 2
unto this day. and  ^ 2
worthy of death or of bonds.  ^ 2
with the elders, and  ^ 2
all things which are written in the  ^ 2
the high priest and the  ^ 2
and the chief of the  ^ 2
to jerusalem, and there be judged  ^ 2
jerusalem, and there be judged of  ^ 2
agrippa said unto paul,  ^ 2
it is hard for thee to kick against  ^ 2
for thee to kick against the pricks.  ^ 2
to kick against the pricks. and  ^ 2
said, i am jesus  ^ 2
i am jesus whom  ^ 2
am jesus whom thou  ^ 2
and throughout all the  ^ 2
and when he had thus spoken,  ^ 2
and when it was day,  ^ 2
him. and it came to pass, that after  ^ 2
and it came to pass, that after three  ^ 2
it came to pass, that after three days  ^ 2
no cause of death in  ^ 2
the law of moses, and  ^ 2
ye shall hear, and shall not understand;  ^ 2
and shall not understand; and  ^ 2
shall not understand; and seeing  ^ 2
understand; and seeing ye shall see,  ^ 2
and seeing ye shall see, and  ^ 2
and their ears are dull of hearing, and  ^ 2
their ears are dull of hearing, and their  ^ 2
are dull of hearing, and their eyes  ^ 2
they should see with their eyes, and hear  ^ 2
with their eyes, and hear with their ears,  ^ 2
and hear with their ears, and  ^ 2
with their heart, and should be converted, and  ^ 2
and should be converted, and i should heal  ^ 2
should be converted, and i should heal them.  ^ 2
is waxed gross, and their ears are dull of hearing,  ^ 2
by the mouth of all his  ^ 2
a prophet shall the lord your god  ^ 2
shall the lord your god raise up  ^ 2
your god raise up unto you  ^ 2
god raise up unto you of  ^ 2
raise up unto you of your  ^ 2
unto you of your brethren,  ^ 2
of your brethren, like unto  ^ 2
your brethren, like unto me;  ^ 2
brethren, like unto me; him  ^ 2
and the captain of the  ^ 2
among themselves, saying, what  ^ 2
in the name of jesus.  ^ 2
the sea, and all  ^ 2
sea, and all that  ^ 2
it at the apostles' feet.  ^ 2
and the number of the  ^ 2
the apostles' feet. but  ^ 2
at his feet, and  ^ 2
and great fear came  ^ 2
laid their hands on  ^ 2
and they that were with him,  ^ 2
and said unto them,  ^ 2
for before these days  ^ 2
fear came on all  ^ 2
and the elders, and  ^ 2
over all the land  ^ 2
that there was corn in egypt,  ^ 2
when the time of the  ^ 2
which knew not joseph.  ^ 2
saying, who made thee  ^ 2
who made thee a ruler  ^ 2
made thee a ruler and  ^ 2
and the god of jacob.  ^ 2
unto him, saying, i am the  ^ 2
for the place where  ^ 2
thou standest is holy ground.  ^ 2
then said the lord  ^ 2
in the wilderness forty  ^ 2
as it is written in the book  ^ 2
the heavens opened, and  ^ 2
heavens opened, and the  ^ 2
and cast him out of the  ^ 2
the miracles which he did.  ^ 2
and the lord said unto  ^ 2
the lord said unto him,  ^ 2
lord said unto him, arise,  ^ 2
lord said unto him,  ^ 2
in the way, and  ^ 2
of judah, and in the days of jeroboam the son  ^ 2
in that day, saith the lord.  ^ 2
saith the lord. hear this  ^ 2
me, saith the lord. therefore thus  ^ 2
for the waters of the sea, and poureth them out upon  ^ 2
of the sea, and poureth them out upon the face  ^ 2
and poureth them out upon the face of the earth:  ^ 2
upon the face of the earth: the lord  ^ 2
i beseech thee: by whom shall jacob arise?  ^ 2
by whom shall jacob arise? for  ^ 2
shall jacob arise? for he  ^ 2
arise? for he is small.  ^ 2
for he is small. the lord  ^ 2
he is small. the lord repented  ^ 2
is small. the lord repented for  ^ 2
the lord repented for this:  ^ 2
in his hand. and the lord said unto  ^ 2
of egypt. and it shall come to pass in that day,  ^ 2
in whom we have redemption  ^ 2
whom we have redemption through  ^ 2
we have redemption through his  ^ 2
redemption through his blood,  ^ 2
in christ jesus, and  ^ 2
in all wisdom and  ^ 2
the rudiments of the world,  ^ 2
in psalms and hymns and  ^ 2
and hymns and spiritual  ^ 2
hymns and spiritual songs,  ^ 2
and spiritual songs, singing  ^ 2
wives, submit yourselves unto your own husbands,  ^ 2
submit yourselves unto your own husbands, as  ^ 2
not with eyeservice, as  ^ 2
with eyeservice, as menpleasers;  ^ 2
eyeservice, as menpleasers; but  ^ 2
to the lord, and not  ^ 2
as to the lord, and  ^ 2
on the earth. for  ^ 2
as i ought to speak.  ^ 2
whom i have sent unto you  ^ 2
i have sent unto you for  ^ 2
unto you for the same purpose,  ^ 2
you for the same purpose, that  ^ 2
came nebuchadnezzar king of babylon  ^ 2
clothed in linen, which was upon  ^ 2
in linen, which was upon the waters  ^ 2
which was upon the waters of the river,  ^ 2
the interpretation. the king answered and said  ^ 2
before the king. and the king said  ^ 2
harp, sackbut, psaltery, and dulcimer,  ^ 2
sackbut, psaltery, and dulcimer, and all  ^ 2
psaltery, and dulcimer, and all kinds  ^ 2
and dulcimer, and all kinds of music,  ^ 2
a decree, that every man  ^ 2
that every man that  ^ 2
into the midst of a burning fiery furnace.  ^ 2
thy gods, nor worship the golden  ^ 2
the golden image which thou hast set up.  ^ 2
image which thou hast set up. then  ^ 2
time ye hear the sound of the cornet,  ^ 2
ye hear the sound of the cornet, flute,  ^ 2
and all kinds of music, ye fall down  ^ 2
kinds of music, ye fall down and worship  ^ 2
the judges, the treasurers, the counselors, the sheriffs,  ^ 2
the treasurers, the counselors, the sheriffs, and all  ^ 2
the counselors, the sheriffs, and all the rulers  ^ 2
the sheriffs, and all the rulers of the provinces,  ^ 2
into the midst of the burning fiery furnace.  ^ 2
of shadrach, meshach, and abed-nego,  ^ 2
the golden image that nebuchadnezzar  ^ 2
image that nebuchadnezzar the king  ^ 2
that dwell in all the earth;  ^ 2
dwell in all the earth; peace  ^ 2
in all the earth; peace be multiplied  ^ 2
unto all people, nations, and languages,  ^ 2
people, nations, and languages, that  ^ 2
nations, and languages, that dwell  ^ 2
and languages, that dwell in all  ^ 2
of iron and brass, in the tender grass  ^ 2
iron and brass, in the tender grass of  ^ 2
and brass, in the tender grass of the field;  ^ 2
in the tender grass of the field; and let it be wet  ^ 2
of the field; and let it be wet with the dew  ^ 2
the field; and let it be wet with the dew of heaven,  ^ 2
and let it be wet with the dew of heaven, and let his portion  ^ 2
with the dew of heaven, and let his portion be with  ^ 2
of heaven, and let his portion be with the beasts  ^ 2
even with a band of iron and brass,  ^ 2
and seven times shall pass over  ^ 2
thou know that the most high ruleth  ^ 2
of men, and giveth it to whomsoever he will.  ^ 2
the children of the captivity of judah,  ^ 2
with scarlet, and have a chain of gold  ^ 2
and have a chain of gold about  ^ 2
of gold about his neck,  ^ 2
of the house of god which  ^ 2
thirty days, save of  ^ 2
days, save of thee, o king,  ^ 2
according to the law of the medes and persians, which  ^ 2
of the medes and persians, which altereth  ^ 2
and persians, which altereth not.  ^ 2
whom thou servest continually,  ^ 2
of the lord came to jeremiah  ^ 2
which moses spoke unto  ^ 2
which the lord our god doth give  ^ 2
to deliver us into the hand of the amorites, to destroy  ^ 2
until ye came into this  ^ 2
and the lord heard the voice of your words,  ^ 2
which ye said should be a prey,  ^ 2
unto the great river, the river  ^ 2
at that time the lord said  ^ 2
time the lord said unto  ^ 2
hearkened unto me at that time  ^ 2
the land, which i swore unto their fathers  ^ 2
which i swore unto their fathers to give  ^ 2
and the lord said unto me, arise,  ^ 2
which i command thee this day  ^ 2
for ye were strangers in the land  ^ 2
the words that were in  ^ 2
you in the mount out of the midst of the fire in the day  ^ 2
unto this day. wherefore  ^ 2
no part nor inheritance with  ^ 2
quickly from off the good land  ^ 2
from off the good land which  ^ 2
the good land which the lord  ^ 2
of them when thou sittest in thine house, and when thou walkest by the way,  ^ 2
which the lord swore unto your fathers  ^ 2
the lord swore unto your fathers to give  ^ 2
all these commandments which  ^ 2
these commandments which i  ^ 2
commandments which i command  ^ 2
there shall no man be able to stand before  ^ 2
after other gods, which  ^ 2
other gods, which ye have not  ^ 2
the statutes and judgments which i  ^ 2
which i set before  ^ 2
a land that floweth with milk and honey.  ^ 2
the land, which the lord swore  ^ 2
which the lord your god shall choose  ^ 2
in the place which the lord shall choose  ^ 2
according to the blessing of the lord thy god which  ^ 2
of the lord thy god which he hath given  ^ 2
and thy daughter, and thy manservant, and thy maidservant, and the levite  ^ 2
and thy manservant, and thy maidservant, and the levite that  ^ 2
thy god in the place which the lord  ^ 2
which the lord thy god hath chosen  ^ 2
thou shalt do that which is right in the sight of the lord.  ^ 2
all these words which  ^ 2
saying, let us go and serve other  ^ 2
let us go and serve other gods,  ^ 2
and serve other gods, which  ^ 2
and the thing certain, that such abomination  ^ 2
certain, that such abomination is wrought  ^ 2
i command thee this day, to do  ^ 2
other gods, which thou hast not  ^ 2
gods, which thou hast not known,  ^ 2
prophet, or that dreamer  ^ 2
the way which the lord thy god  ^ 2
and the owl, and the night hawk, and the cuckoo, and the hawk  ^ 2
and the night hawk, and the cuckoo, and the hawk after his kind,  ^ 2
and the great owl, and the swan, and the pelican, and the gier-eagle,  ^ 2
which the lord thy god shall choose:  ^ 2
and shalt go unto the place which  ^ 2
there before the lord thy god,  ^ 2
he hath no part nor inheritance with  ^ 2
thy god may bless thee in all the work  ^ 2
eat of them that chew the cud, or of them that divide  ^ 2
the lord thy god shall bless thee in all  ^ 2
that thou wast a bondman in the land  ^ 2
thee in the land which the lord thy god  ^ 2
the lord thy god giveth thee for an inheritance  ^ 2
thy god giveth thee for an inheritance to possess  ^ 2
to do all these commandments  ^ 2
of the lord thy god, to observe to do  ^ 2
thy god, to observe to do all  ^ 2
the lord thy god giveth thee, thou shalt not  ^ 2
before the lord thy god in the place  ^ 2
shall choose to place his name there.  ^ 2
which the lord thy god shall choose  ^ 2
the lord thy god shall choose to place  ^ 2
thy god shall choose to place his name  ^ 2
and served other gods, and worshiped  ^ 2
at the mouth of two witnesses,  ^ 2
the mouth of two witnesses, or  ^ 2
that shall be in those days,  ^ 2
the lord thy god doth drive them out from before  ^ 2
unto them all that  ^ 2
in my name, which i have not commanded  ^ 2
the lord thy god giveth thee for an inheritance,  ^ 2
thy land, which the lord thy god  ^ 2
that the lord thy god giveth  ^ 2
of thy land, which the lord thy god  ^ 2
a people great, and many, and tall,  ^ 2
great, and many, and tall, as the anakims;  ^ 2
day. and the lord said unto  ^ 2
and the lord said unto me, behold,  ^ 2
came out against us, he and all  ^ 2
against us, he and all his people,  ^ 2
and we took all his cities at that  ^ 2
all his cities at that time,  ^ 2
as the lord thy god hath commanded  ^ 2
and return unto his house, lest he die  ^ 2
unto his house, lest he die in the battle,  ^ 2
in the land which the lord thy god  ^ 2
the lord thy god giveth thee for an inheritance.  ^ 2
not put her away all his days.  ^ 2
shall not enter into the congregation of the lord;  ^ 2
enter into the congregation of the lord; even  ^ 2
therefore i command thee to do  ^ 2
i command thee to do this  ^ 2
command thee to do this thing.  ^ 2
it shall be for the stranger, for the fatherless, and for the widow.  ^ 2
what the lord thy god did  ^ 2
as the lord god of thy fathers  ^ 2
the lord god of thy fathers hath promised  ^ 2
upon them all the words  ^ 2
them all the words of this  ^ 2
in the fruit of thy body, and in the fruit of thy cattle,  ^ 2
of thy body, and in the fruit of thy cattle, and in the fruit  ^ 2
these curses shall come upon  ^ 2
the increase of thy kine, and the flocks of thy sheep.  ^ 2
which neither thou nor thy fathers  ^ 2
unto the voice of the lord thy god, to keep  ^ 2
of the lord thy god, to keep his commandments  ^ 2
thy god, to keep his commandments and his statutes  ^ 2
and in the straitness, wherewith thine enemies shall distress  ^ 2
to do all the words of this  ^ 2
all israel, and said unto  ^ 2
wherefore hath the lord done thus  ^ 2
because they have forsaken the covenant of the lord  ^ 2
all the words of this law.  ^ 2
the great temptations which thine eyes  ^ 2
the words of this covenant, and do  ^ 2
and edrei, cities of the kingdom of og  ^ 2
even unto the river jabbok, which is the border  ^ 2
the river jabbok, which is the border of the children  ^ 2
jabbok, which is the border of the children of ammon;  ^ 2
the sea of the plain, even the salt sea,  ^ 2
thou didst unto sihon king of the amorites,  ^ 2
unto sihon king of the amorites, which  ^ 2
king of the amorites, which dwelt  ^ 2
of the amorites, which dwelt at heshbon.  ^ 2
at edrei. and the lord said unto  ^ 2
all that the lord your god  ^ 2
that the lord your god hath done  ^ 2
the nations, whither the lord thy god  ^ 2
unto thy fathers, to abraham, to isaac, and to jacob,  ^ 2
to abraham, to isaac, and to jacob, to give  ^ 2
with all thine heart, and with all thy soul,  ^ 2
these words unto all  ^ 2
to appear before the lord thy god  ^ 2
in the land whither ye  ^ 2
whither ye go over jordan  ^ 2
go over jordan to possess and the lord  ^ 2
for all the evils which  ^ 2
the land which i swore unto their fathers,  ^ 2
be strong and of a good courage: for thou  ^ 2
the levites, which bore the ark of the covenant  ^ 2
for a fire is kindled in mine anger,  ^ 2
which i give unto the children  ^ 2
unto the land which i  ^ 2
which i swore unto abraham, unto isaac,  ^ 2
and go in and possess the land which  ^ 2
which the lord god of your fathers  ^ 2
the covenant of the lord your god, which  ^ 2
see, nor hear, nor  ^ 2
he is god in heaven above,  ^ 2
and his commandments, which i command  ^ 2
the third and fourth generation of them that hate and showing  ^ 2
and fourth generation of them that hate and showing mercy  ^ 2
generation of them that hate and showing mercy unto thousands  ^ 2
and showing mercy unto thousands of them that love  ^ 2
for the lord will not hold him guiltless  ^ 2
the lord will not hold him guiltless that  ^ 2
will not hold him guiltless that taketh  ^ 2
hold him guiltless that taketh his name  ^ 2
that taketh his name in vain.  ^ 2
my commandments. thou shalt not take the name  ^ 2
thou shalt not take the name of the lord  ^ 2
take the name of the lord thy god  ^ 2
and do all thy work: but the seventh  ^ 2
do any work, thou,  ^ 2
any work, thou, nor thy son,  ^ 2
work, thou, nor thy son, nor thy daughter,  ^ 2
all thy work: but the seventh day  ^ 2
thy work: but the seventh day is the sabbath  ^ 2
but the seventh day is the sabbath of the lord  ^ 2
day is the sabbath of the lord thy god:  ^ 2
is the sabbath of the lord thy god: in it thou shalt not  ^ 2
of the lord thy god: in it thou shalt not do  ^ 2
thy god: in it thou shalt not do any  ^ 2
in it thou shalt not do any work,  ^ 2
thy god giveth thou shalt not kill.  ^ 2
all that the lord our god  ^ 2
the commandments, and the statutes, and the judgments, which  ^ 2
saying, i am the lord thy god,  ^ 2
i am the lord thy god, which  ^ 2
other gods before thou shalt not  ^ 2
is in heaven above, or that is in the earth  ^ 2
above, or that is in the earth beneath,  ^ 2
or that is in the earth beneath, or that  ^ 2
gods before thou shalt not make  ^ 2
or any likeness of any thing that is in heaven  ^ 2
likeness of any thing that is in heaven above,  ^ 2
of any thing that is in heaven above, or that  ^ 2
the lord thy god am a jealous god,  ^ 2
thy god am a jealous god, visiting  ^ 2
am a jealous god, visiting the iniquity  ^ 2
god, visiting the iniquity of the fathers  ^ 2
visiting the iniquity of the fathers upon  ^ 2
unto the third and fourth generation of them that hate  ^ 2
serve them: for i the lord  ^ 2
them: for i the lord thy god  ^ 2
i the lord thy god am a jealous  ^ 2
other gods, of the gods of the people  ^ 2
thy son asketh thee in time to come, saying,  ^ 2
asketh thee in time to come, saying, what  ^ 2
nations greater and mightier than  ^ 2
which he swore unto thy fathers to give  ^ 2
that are upon the face of the earth.  ^ 2
the good land which he hath given  ^ 2
and walk after other gods,  ^ 2
out of the way which i commanded  ^ 2
people, and, behold, it is a stiffnecked  ^ 2
and, behold, it is a stiffnecked people:  ^ 2
i have seen this people, and, behold,  ^ 2
this people, and, behold, it  ^ 2
eat bread, nor drink  ^ 2
the lord forty days and forty  ^ 2
forty days and forty nights,  ^ 2
the lord, and said, o lord god,  ^ 2
in the mount forty days and forty  ^ 2
all is vanity and vexation of spirit.  ^ 2
for thou knowest not what  ^ 2
this also is vanity and vexation  ^ 2
also is vanity and vexation of spirit.  ^ 2
work that is done under  ^ 2
this is also vanity and vexation  ^ 2
is also vanity and vexation of spirit.  ^ 2
the days of his life, which god  ^ 2
of his life, which god giveth  ^ 2
that is done under the sun:  ^ 2
in whom ye also  ^ 2
and power, and might,  ^ 2
according to the riches of his  ^ 2
of our lord jesus christ;  ^ 2
and gave himself for  ^ 2
for this cause shall a man leave his  ^ 2
shall a man leave his father  ^ 2
leave his father and  ^ 2
his father and mother,  ^ 2
wrath of god upon the  ^ 2
the fruit of the spirit  ^ 2
whole armor of god, that ye may be able  ^ 2
which is the first commandment  ^ 2
god the father and the lord  ^ 2
the father and the lord jesus  ^ 2
into all the king's provinces,  ^ 2
then said the king's servants that ministered  ^ 2
to lay hand on the king ahasuerus.  ^ 2
unto shushan the palace, to  ^ 2
day of the twelfth month, which is the month  ^ 2
the copy of the writing for a commandment to be given  ^ 2
of the writing for a commandment to be given in every  ^ 2
for a commandment to be given in every province  ^ 2
to be given in every province was published  ^ 2
in every province was published unto all  ^ 2
province was published unto all people,  ^ 2
whithersoever the king's commandment and his decree  ^ 2
the king's commandment and his decree came,  ^ 2
zeresh his wife and all his friends  ^ 2
the banquet that esther had prepared.  ^ 2
unto the man whom the king delighteth  ^ 2
whom the king delighteth to honor.  ^ 2
on the gallows that he had prepared  ^ 2
if it please the king, and if  ^ 2
are the names of the children of israel, which came  ^ 2
charged all his people, saying,  ^ 2
said unto moses, go in  ^ 2
unto moses, go in unto  ^ 2
moses, stretch out thine hand over  ^ 2
all that day, and all  ^ 2
the land of egypt. then pharaoh called  ^ 2
of egypt. then pharaoh called for moses  ^ 2
from pharaoh, and entreated the lord.  ^ 2
pharaoh, and entreated the lord. and the lord  ^ 2
but the lord hardened pharaoh's heart,  ^ 2
hardened pharaoh's heart, so that he would not  ^ 2
pharaoh's heart, so that he would not let  ^ 2
heart, so that he would not let the children  ^ 2
so that he would not let the children of israel  ^ 2
go. and the lord said unto  ^ 2
thine hand toward heaven, that there may be  ^ 2
go, that they may serve else, if  ^ 2
the children of israel go out of his land.  ^ 2
and the lord gave the people favor  ^ 2
gave the people favor in the sight  ^ 2
spoke unto moses and aaron  ^ 2
moses and aaron, so did  ^ 2
as the lord had commanded moses  ^ 2
of silver, and jewels of gold, and raiment:  ^ 2
the children of israel; as the lord  ^ 2
and it shall be when the lord shall bring  ^ 2
when the lord shall bring thee into  ^ 2
the lord shall bring thee into the land  ^ 2
shall bring thee into the land of the canaanites,  ^ 2
for by strength of hand the lord  ^ 2
the children of israel, saying, god  ^ 2
of israel, saying, god will surely visit  ^ 2
the land of the canaanites, and the hittites, and the amorites,  ^ 2
seven days thou shalt eat unleavened bread,  ^ 2
and the egyptians shall know that i  ^ 2
the horse and his rider hath he thrown into the sea.  ^ 2
and the people murmured against moses,  ^ 2
is the thing which the lord hath commanded,  ^ 2
and the children of israel did so,  ^ 2
and the whole congregation of the children of israel  ^ 2
of the children of israel murmured against  ^ 2
said unto moses, how long  ^ 2
and moses said, this is the thing  ^ 2
said, this is the thing which  ^ 2
said unto aaron, take  ^ 2
unto all the children of israel,  ^ 2
that ye murmur against and moses  ^ 2
and moses spoke unto aaron,  ^ 2
said unto moses, write  ^ 2
and moses cried unto the lord,  ^ 2
what is this thing that  ^ 2
of hundreds, rulers of fifties, and rulers  ^ 2
of the people unto the lord. and the lord  ^ 2
unto moses, go unto  ^ 2
the words of the people unto the lord.  ^ 2
and earth, the sea, and all that  ^ 2
for in six days the lord  ^ 2
in six days the lord made  ^ 2
days the lord made heaven  ^ 2
the lord made heaven and earth,  ^ 2
unto the children of israel, ye  ^ 2
eye for eye, tooth  ^ 2
for eye, tooth for  ^ 2
thou shalt not offer the blood of my sacrifice  ^ 2
offer the blood of my sacrifice with  ^ 2
the first of the firstfruits of thy land thou shalt bring  ^ 2
of the lord thy god. thou shalt not seethe  ^ 2
and aaron, nadab, and abihu, and seventy  ^ 2
nadab, and abihu, and seventy of the elders  ^ 2
forty days and forty nights.  ^ 2
all the words which the lord  ^ 2
shall be the length thereof, and a cubit and a half the breadth  ^ 2
of shittim wood: two cubits and a half  ^ 2
two cubits and a half shall be the length thereof, and a cubit  ^ 2
and a half shall be the length thereof, and a cubit and a half  ^ 2
thereof, and a cubit and a half the height and thou shalt overlay  ^ 2
and a half the height and thou shalt overlay it with pure  ^ 2
the height and thou shalt overlay it with pure gold,  ^ 2
the one side of it, and two rings  ^ 2
staves of shittim wood, and overlay  ^ 2
of shittim wood, and overlay them with gold.  ^ 2
wood, and overlay them with gold. and thou shalt put  ^ 2
the staves into the rings by the sides  ^ 2
into the rings by the sides of the ark,  ^ 2
of pure gold: two cubits and a half  ^ 2
unto the children of israel, that they bring  ^ 2
thereof, and a cubit the breadth thereof, and a cubit and a half  ^ 2
for it four rings of gold, and put  ^ 2
rings of gold, and put the rings  ^ 2
and thou shalt make the staves of shittim wood,  ^ 2
the staves of shittim wood, and overlay  ^ 2
two branches of the same, according to the six  ^ 2
branches of the same, according to the six branches  ^ 2
gold. of a talent of pure gold  ^ 2
and silver, and brass, and blue, and purple,  ^ 2
and brass, and blue, and purple, and scarlet,  ^ 2
and blue, and purple, and scarlet, and fine linen,  ^ 2
and scarlet, and fine linen, and goats' and rams'  ^ 2
and fine linen, and goats' and rams' skins  ^ 2
and goats' and rams' skins dyed red,  ^ 2
and rams' skins dyed red, and badgers'  ^ 2
skins dyed red, and badgers' skins,  ^ 2
dyed red, and badgers' skins, and shittim  ^ 2
and badgers' skins, and shittim wood,  ^ 2
and purple, and scarlet: with cherubims of cunning  ^ 2
and scarlet: with cherubims of cunning work  ^ 2
curtains of fine twined linen, and blue, and purple,  ^ 2
of fine twined linen, and blue, and purple, and scarlet:  ^ 2
and blue, and purple, and scarlet: with cherubims  ^ 2
the edge of the curtain which coupleth the second.  ^ 2
a covering for the tent of rams' skins  ^ 2
for the tent of rams' skins dyed red,  ^ 2
of rams' skins dyed red, and a covering  ^ 2
boards; two sockets under  ^ 2
sockets under one board  ^ 2
under one board for his two  ^ 2
one board for his two tenons,  ^ 2
board for his two tenons, and two  ^ 2
for his two tenons, and two sockets  ^ 2
tenons, and two sockets under  ^ 2
sockets under another board  ^ 2
under another board for his two  ^ 2
another board for his two tenons.  ^ 2
under the twenty boards; two  ^ 2
the twenty boards; two sockets  ^ 2
and their forty sockets of silver; two  ^ 2
sockets of silver; two sockets  ^ 2
of silver; two sockets under  ^ 2
under another board. and for the sides  ^ 2
another board. and for the sides of the tabernacle  ^ 2
board. and for the sides of the tabernacle westward  ^ 2
six boards. and two boards  ^ 2
bars of shittim wood; five  ^ 2
of shittim wood; five for the boards  ^ 2
wood; five for the boards of the one  ^ 2
five for the boards of the one side  ^ 2
for the boards of the one side of the tabernacle,  ^ 2
of the one side of the tabernacle, and five  ^ 2
and five bars for the boards of the other  ^ 2
bars for the boards of the other side  ^ 2
for the boards of the other side of the tabernacle,  ^ 2
of the other side of the tabernacle, and five  ^ 2
a veil of blue, and purple, and scarlet,  ^ 2
of another curtain, in the coupling of the second. fifty  ^ 2
in the coupling of the second. fifty loops  ^ 2
five curtains by themselves, and six  ^ 2
curtains by themselves, and six curtains  ^ 2
oil olive beaten for the light,  ^ 2
thee pure oil olive beaten  ^ 2
aaron thy brother, and his sons with  ^ 2
a ligure, an agate, and an amethyst. and the fourth  ^ 2
twelve, according to their names, like the engravings  ^ 2
the names of the children of israel, twelve,  ^ 2
of the children of israel, twelve, according to  ^ 2
of israel, twelve, according to their names,  ^ 2
of wreathen work of pure gold.  ^ 2
the two wreathen chains of gold in  ^ 2
wreathen chains of gold in the two  ^ 2
the two ouches, and put them on  ^ 2
ouches, and put them on the shoulder pieces  ^ 2
in the two ouches, and put  ^ 2
the two sides of the ephod underneath,  ^ 2
sides of the ephod underneath, toward  ^ 2
of the ephod underneath, toward the forepart  ^ 2
the other coupling thereof, above the curious girdle of the ephod.  ^ 2
them on the two sides of the ephod  ^ 2
above the curious girdle of the ephod, and that the breastplate  ^ 2
the rings of the ephod with a lace of blue,  ^ 2
of the holy things, which the children of israel  ^ 2
ram; and aaron and his sons shall put  ^ 2
the whole ram upon the altar: it  ^ 2
it upon aaron, and upon his garments,  ^ 2
aaron, and upon his garments, and upon  ^ 2
and upon his garments, and upon his sons,  ^ 2
his garments, and upon his sons, and upon  ^ 2
and his garments, and his sons, and his sons' garments  ^ 2
and his sons, and his sons' garments with  ^ 2
cake of oiled bread, and one  ^ 2
and the other lamb thou shalt offer at  ^ 2
of flour mingled with the fourth part of a hin  ^ 2
mingled with the fourth part of a hin of beaten  ^ 2
that i am the lord their god,  ^ 2
and moses said unto god,  ^ 2
god of your fathers, the god of abraham,  ^ 2
the god of isaac, and the god of jacob,  ^ 2
of the canaanites, and the hittites, and the amorites, and the perizzites,  ^ 2
and the hittites, and the amorites, and the perizzites, and the hivites,  ^ 2
unto him, the lord god of the hebrews  ^ 2
three days' journey into the wilderness,  ^ 2
for the place whereon thou  ^ 2
the place whereon thou standest  ^ 2
unto the lord. and the lord spoke unto  ^ 2
